cca,size,density,total_time
2,10,10,0.0999622400
2,10,10,0.0770926210
2,10,10,0.0765094970
2,10,10,0.0165003410
2,10,10,0.0239717660
2,10,20,0.0165126160
2,10,20,0.0164942440
2,10,20,0.0085989820
2,10,20,0.0086026040
2,10,20,0.0163851240
2,11,10,0.0988142760
2,11,10,0.0986209470
2,11,10,0.0986479990
2,11,10,0.0859337870
2,11,10,0.0143049500
2,11,20,0.0074748030
2,11,20,0.0074338280
2,11,20,0.0074800350
2,11,20,0.0076234520
2,11,20,0.0074534550
2,12,10,0.0086390900
2,12,10,0.0085386890
2,12,10,0.0085300960
2,12,10,0.0085338440
2,12,10,0.0085206090
2,12,20,0.0087196860
2,12,20,0.0087831870
2,12,20,0.0094761330
2,12,20,0.0092685860
2,12,20,0.0089452560
2,13,10,0.0099509620
2,13,10,0.0097819370
2,13,10,0.0095959120
2,13,10,0.0098697410
2,13,10,0.0097544850
2,13,20,0.0095948190
2,13,20,0.0096018050
2,13,20,0.0098228280
2,13,20,0.0095962590
2,13,20,0.0097292080
2,14,10,0.0108568190
2,14,10,0.0108976220
2,14,10,0.0110295730
2,14,10,0.0108793960
2,14,10,0.0108788900
2,14,20,0.0108647690
2,14,20,0.0108771030
2,14,20,0.0108598110
2,14,20,0.0108814840
2,14,20,0.0111205950
2,15,10,0.1719522480
2,15,10,0.0238060860
2,15,10,0.0238211450
2,15,10,0.0122447620
2,15,10,0.0133232520
2,15,20,0.0127163620
2,15,20,0.0131957080
2,15,20,0.0127033320
2,15,20,0.0126327550
2,15,20,0.0123597730
2,16,10,0.0143351430
2,16,10,0.0143192040
2,16,10,0.0142005420
2,16,10,0.0143267020
2,16,10,0.0143432690
2,16,20,0.0143603380
2,16,20,0.0143911520
2,16,20,0.0143152190
2,16,20,0.0143634940
2,16,20,0.0137850450
2,17,10,0.0159383180
2,17,10,0.0160527560
2,17,10,0.0158545550
2,17,10,0.0157943970
2,17,10,0.0158441580
2,17,20,0.0157831070
2,17,20,0.0158042140
2,17,20,0.0157835180
2,17,20,0.0157701410
2,17,20,0.0159411520
2,18,10,0.0175979590
2,18,10,0.0174475250
2,18,10,0.0175526620
2,18,10,0.0177483650
2,18,10,0.0176813550
2,18,20,0.0166211930
2,18,20,0.0179763190
2,18,20,0.0174550300
2,18,20,0.0174697940
2,18,20,0.0174671570
2,19,10,0.3559909500
2,19,10,0.3541613040
2,19,10,0.0395357760
2,19,10,0.0206802330
2,19,10,0.0210167840
2,19,20,0.0206377580
2,19,20,0.0209937340
2,19,20,0.0207986070
2,19,20,0.0205453010
2,19,20,0.0235422570
2,20,10,0.0214432540
2,20,10,0.0214794750
2,20,10,0.0216279720
2,20,10,0.0215429480
2,20,10,0.0216800560
2,20,20,0.0214682140
2,20,20,0.0209759550
2,20,20,0.0211884440
2,20,20,0.0211574600
2,20,20,0.0207078960
2,21,10,0.0234991730
2,21,10,0.0233017290
2,21,10,0.0233429810
2,21,10,0.0233469920
2,21,10,0.0221710820
2,21,20,0.0232297130
2,21,20,0.0227747720
2,21,20,0.0233626170
2,21,20,0.0231135670
2,21,20,0.0239366180
2,22,10,0.0255803430
