cca,size,density,total_time
7,10,10,2.9895314750
7,10,10,2.7425916980
7,10,10,2.7947181560
7,10,10,2.6688502230
7,10,10,0.8488790780
7,10,10,0.5924986750
7,10,10,0.5907807550
7,10,10,0.5966100570
7,10,10,0.5819121520
7,10,10,0.5917893480
7,10,20,0.5923862490
7,10,20,0.5876079110
7,10,20,0.5902926190
7,10,20,0.5897234860
7,10,20,0.5945650980
7,10,20,0.5894716590
7,10,20,0.3195934390
7,10,20,0.5932835080
7,10,20,0.5966424740
7,10,20,0.5948654860
7,11,10,3.2739804720
7,11,10,3.2337324610
7,11,10,3.3470333110
7,11,10,0.9344034260
7,11,10,0.6506092500
7,11,10,0.6389226570
7,11,10,0.6561254970
7,11,10,0.6466537820
7,11,10,0.6430229360
7,11,10,0.6538026680
7,11,20,0.6473463990
7,11,20,0.6544267070
7,11,20,0.6496342390
7,11,20,0.6515898920
7,11,20,0.6527302770
7,11,20,0.6445070450
7,11,20,0.3815533080
7,11,20,0.6455432450
7,11,20,0.6539382950
7,11,20,0.6518575020
7,12,10,0.7064545700
7,12,10,0.6993591490
7,12,10,0.6930220680
7,12,10,0.7037454710
7,12,10,0.7054255940
7,12,10,0.7034311550
7,12,10,0.7041860500
7,12,10,0.7049915450
7,12,10,0.7077865750
7,12,10,0.7078770300
7,12,20,0.7096440210
7,12,20,0.7078037630
7,12,20,0.7005881930
7,12,20,0.7083920980
7,12,20,0.6998956890
7,12,20,0.7037269400
7,12,20,0.3917251900
7,12,20,0.7029446830
7,12,20,0.7020090160
7,12,20,0.7066694710
7,13,10,0.7648416930
7,13,10,0.7592143260
7,13,10,0.7573938590
7,13,10,0.7496058370
7,13,10,0.7502762390
7,13,10,0.7599570650
7,13,10,0.7453440690
7,13,10,0.7660857030
7,13,10,0.7700156880
7,13,10,0.7676769440
7,13,20,0.7602258840
7,13,20,0.7618242330
7,13,20,0.7592249100
7,13,20,0.7586934880
7,13,20,0.7627605750
7,13,20,0.7690600520
7,13,20,0.4111666520
7,13,20,0.7707559370
7,13,20,0.7672691470
7,13,20,0.7639697020
7,14,10,5.2826901730
7,14,10,5.2428906160
7,14,10,5.3225041840
7,14,10,5.3056864980
7,14,10,0.8157262660
7,14,10,0.8057752520
7,14,10,0.8050451560
7,14,10,0.8103261750
7,14,10,0.8144004140
7,14,10,0.8103694630
7,14,20,0.8111465360
7,14,20,0.7992560670
7,14,20,0.8071231890
7,14,20,0.8107852490
7,14,20,0.8088029940
7,14,20,0.8163235280
7,14,20,0.4368205460
7,14,20,0.8149349540
7,14,20,0.8134638120
7,14,20,0.8107799340
7,15,10,6.0143674060
7,15,10,5.8952278900
7,15,10,0.8617351490
7,15,10,0.8630347840
7,15,10,0.8643589490
7,15,10,0.8696552690
7,15,10,0.8344106490
7,15,10,0.8617968100
7,15,10,0.8623554530
7,15,10,0.8662059930
7,15,20,0.8684036420
7,15,20,0.8609263260
7,15,20,0.8679974710
7,15,20,0.8672533530
7,15,20,0.8654144620
7,15,20,0.8454445320
7,15,20,0.4676272860
7,15,20,0.8675559820
7,15,20,0.8680455110
7,15,20,0.8591128640
7,16,10,6.7949365810
7,16,10,6.7957716750
7,16,10,0.8967695390
7,16,10,0.9008648330
7,16,10,0.9037447200
7,16,10,0.9006536890
7,16,10,0.9038413190
7,16,10,0.9011264100
7,16,10,0.8963877520
7,16,10,0.8874126790
7,16,20,0.9166799680
7,16,20,0.9071127820
7,16,20,0.9039379200
7,16,20,0.8844346740
7,16,20,0.9014415010
7,16,20,0.8906520570
7,16,20,0.4814933950
7,16,20,0.8989261730
7,16,20,0.9129553320
7,16,20,0.9072209670
7,17,10,0.9569565480
7,17,10,0.9366770710
7,17,10,0.9376021790
7,17,10,0.9640549700
