cca,size,total_time
9,2,0.000768557191
9,3,0.000869959593
9,4,0.001028783619
9,5,0.001209802926
9,6,0.001375723630
9,7,0.001579146832
9,8,0.001789048314
9,9,0.002130150795
9,9,0.002037342638
9,9,0.001739706844
9,9,0.001886636019
9,9,0.001303698868
9,10,0.001223567873
9,10,0.001275848597
9,10,0.001541499048
9,10,0.001870058477
9,10,0.001690581441
9,10,0.001382332295
9,10,0.001219239086
9,10,0.001528441906
9,11,0.002272319049
9,11,0.001610394567
9,11,0.001540303230
9,11,0.001454051584
9,12,0.002353075892
9,12,0.002241104841
9,12,0.002118434757
9,12,0.001675020903
9,13,0.002537347376
9,13,0.002397350967
9,13,0.002251669765
9,13,0.001873686910
9,14,0.002676784992
9,14,0.003216620535
9,14,0.002521079034
9,14,0.001924682409
9,15,0.001754164696
9,15,0.002903021872
9,15,0.002993401140
9,15,0.001732196659
9,16,0.003333885223
9,16,0.002351600677
9,16,0.002080388367
9,16,0.003713469952
9,16,0.001536857337
9,16,0.002906262875
9,16,0.002341292799
9,16,0.003213886172
9,17,0.003565736115
9,17,0.002961579710
9,17,0.002000160515
9,17,0.002883821726
9,18,0.004287797958
9,18,0.003929182887
9,18,0.002843078226
9,18,0.003939438611
9,19,0.003556605428
9,19,0.004021145403
9,19,0.002322278917
9,19,0.005036409944
9,20,0.013153668493
9,20,0.013609249145
9,20,0.007309440523
9,20,0.003026954830
9,21,0.002632245421
9,21,0.006682686508
9,21,0.005947317928
9,21,0.006775189191
9,21,0.004670169204
9,21,0.011078957468
9,21,0.008181333542
9,21,0.012391269207
9,21,0.006335116923
9,21,0.007572807372
9,21,0.007331073284
9,21,0.006582282484
9,21,0.007407549769
9,21,0.006026651710
9,21,0.005297545344
9,21,0.006707761437
9,21,0.004051886499
9,21,0.009964816272
9,21,0.005562417209
9,21,0.003149814904
9,21,0.007355295122
9,21,0.005196671933
9,21,0.006960999221
9,21,0.007202908397
9,21,0.007922932506
9,21,0.019543066621
9,21,0.007854975760
9,21,0.011342052370
9,21,0.006655782461
9,21,0.000562373549
9,21,0.008894257247
9,21,0.004042755812
9,21,0.006986550987
9,21,0.009080726653
9,21,0.008660200983
9,21,0.008775483817
9,20,0.018805701286
9,20,0.018935065717
9,20,0.007406178862
9,20,0.003144368529
9,20,0.006680913270
9,20,0.006492514163
9,20,0.006978098303
9,20,0.006883289665
9,20,0.007526565343
9,20,0.017803139985
9,20,0.006805974990
9,20,0.002192813903
9,20,0.005902595818
9,20,0.004994366318
9,20,0.002542294562
9,20,0.000654496253
9,20,0.005637202412
9,20,0.005418859422
9,20,0.005865678191
9,20,0.005730763078
9,20,0.006849654019
9,20,0.004485700279
9,20,0.003360055387
9,20,0.004118118435
9,21,0.006471712142
9,21,0.006503336132
9,21,0.005200114101
9,21,0.005766350776
9,21,0.017370492220
9,21,0.007465988398
9,21,0.005939118564
9,21,0.003926523030
9,20,0.004521258175
9,20,0.005082078278
9,20,0.003941796720
9,20,0.006503283978
9,20,0.006355255842
9,20,0.005590416491
9,20,0.016038868576
9,20,0.005804780871
9,20,0.005965288728
9,20,0.006002668291
9,20,0.007256947458
9,20,0.012014858425
9,20,0.006492368877
9,20,0.006755966693
9,20,0.003516074270
9,20,0.006562363356
9,21,0.006192948669
9,21,0.004212196916
9,21,0.005272198468
9,21,0.006900765002
9,21,0.008851688355
9,21,0.006219271570
9,21,0.005401466042
9,21,0.009967233986
9,21,0.007735561579
9,21,0.006828259677
9,21,0.003507744521
9,21,0.007560342550
9,21,0.004118688405
9,21,0.003636039793
9,21,0.007107630372
9,21,0.007745515555
9,21,0.005925230682
9,21,0.007148820907
9,21,0.004289571196
9,21,0.006531685591
9,21,0.003571610898
9,21,0.006628341973
9,21,0.007083185017
9,21,0.004559982568
9,21,0.006619047374
9,21,0.007443543524
9,21,0.007675562054
9,21,0.007480002940
9,21,0.006039950997
9,21,0.006180424243
9,21,0.006685122848
9,21,0.006384130567
9,21,0.002455700189
9,21,0.007250219584
9,21,0.006523586810
9,21,0.006081093103
9,21,0.005767639726
9,21,0.005914986134
9,21,0.003210440278
9,21,0.005014348775
9,21,0.005565982312
9,21,0.002861421555
9,21,0.003930486739
9,21,0.004749555141
9,21,0.003542244434
9,21,0.004434905946
9,21,0.004071481526
9,21,0.005107548088
9,20,0.005366880447
9,20,0.002617929131
9,20,0.004267156124
9,20,0.004328329116
9,20,0.002840887755
9,20,0.003506630659
9,20,0.004440952092
9,20,0.002466600388
9,21,0.000599838793
9,21,0.005005814135
9,21,0.004520554096
9,21,0.002789769322
9,21,0.004630096257
9,21,0.000569105148
9,21,0.003130618483
9,21,0.003156740218
9,20,0.004602964967
9,20,0.002658221871
9,20,0.004718679935
9,20,0.003981016576
9,20,0.002586174756
9,20,0.010934073478
9,20,0.003914717585
9,20,0.004274118692
9,21,0.004281006753
9,21,0.005417034030
9,21,0.005677215755
9,21,0.005110394210
9,20,0.005277380347
9,20,0.004791144282
9,20,0.010827008635
9,20,0.005133211613
9,19,0.002201743424
9,19,0.003412846476
9,19,0.002052497119
9,19,0.000423427671
9,19,0.003040876240
9,19,0.002499274909
9,19,0.004116978496
9,19,0.004159603268
9,19,0.002978891134
9,19,0.003603469580
9,19,0.003963805735
9,19,0.004208110273
9,19,0.002639546990
9,19,0.003908094019
9,19,0.003562226892
9,19,0.003576062620
9,19,0.003610596061
9,19,0.004944141954
9,19,0.000401686877
9,19,0.002199899405
9,19,0.003595020622
9,19,0.003775425255
9,19,0.000405311584
9,19,0.004299763590
9,19,0.004752296954
9,19,0.002904966474
9,19,0.003475051373
9,19,0.005071487278
9,19,0.003720510751
