cca,size,density,mxv_time
5,10,10,0.0008434874
5,10,10,0.0007888945
5,10,10,0.0007445269
5,10,10,0.0007046974
5,10,10,0.0010444255
5,10,20,0.0013925850
5,10,20,0.0013256570
5,10,20,0.0013165390
5,10,20,0.0013166560
5,10,20,0.0013177170
5,11,10,0.0007501202
5,11,10,0.0007173149
5,11,10,0.0006874919
5,11,10,0.0006612030
5,11,10,0.0009612180
5,11,20,0.0012687040
5,11,20,0.0012762940
5,11,20,0.0012721920
5,11,20,0.0012656340
5,11,20,0.0012345620
5,12,10,0.0014260640
5,12,10,0.0014218410
5,12,10,0.0014251590
5,12,10,0.0014311230
5,12,10,0.0014111330
5,12,20,0.0013651090
5,12,20,0.0013654290
5,12,20,0.0013659620
5,12,20,0.0013693160
5,12,20,0.0013637840
5,13,10,0.0015900670
5,13,10,0.0015840410
5,13,10,0.0015826880
5,13,10,0.0015906530
5,13,10,0.0015895570
5,13,20,0.0015885430
5,13,20,0.0015906010
5,13,20,0.0015806070
5,13,20,0.0015843500
5,13,20,0.0015870540
5,14,10,0.0009027815
5,14,10,0.0018199240
5,14,10,0.0018105570
5,14,10,0.0018070590
5,14,10,0.0018126790
5,14,20,0.0018061750
5,14,20,0.0018101980
5,14,20,0.0018111290
5,14,20,0.0018130840
5,14,20,0.0018096850
5,15,10,0.0010240143
5,15,10,0.0010240208
5,15,10,0.0020508090
5,15,10,0.0020420010
5,15,10,0.0020525540
5,15,20,0.0020533940
5,15,20,0.0020520870
5,15,20,0.0020564060
5,15,20,0.0020543370
5,15,20,0.0020575540
5,16,10,0.0023216550
5,16,10,0.0023151270
5,16,10,0.0023129140
5,16,10,0.0023168320
5,16,10,0.0023184230
5,16,20,0.0023106410
5,16,20,0.0023224700
5,16,20,0.0023116370
5,16,20,0.0023106880
5,16,20,0.0023167810
5,17,10,0.0026082470
5,17,10,0.0025938350
5,17,10,0.0025933490
5,17,10,0.0025942580
5,17,10,0.0025919360
5,17,20,0.0025904310
5,17,20,0.0025908300
5,17,20,0.0025897580
5,17,20,0.0025855870
5,17,20,0.0025935170
5,18,10,0.0028990680
5,18,10,0.0028936540
5,18,10,0.0028954610
5,18,10,0.0028970340
5,18,10,0.0028923610
5,18,20,0.0028955230
5,18,20,0.0029092720
5,18,20,0.0029001520
5,18,20,0.0028958930
5,18,20,0.0028971960
5,19,10,0.0017649986
5,19,10,0.0017693081
5,19,10,0.0035881260
5,19,10,0.0026727010
5,19,10,0.0035846400
5,19,20,0.0035813650
5,19,20,0.0035845390
5,19,20,0.0035791800
5,19,20,0.0035837730
5,19,20,0.0035821380
5,20,10,0.0038710850
5,20,10,0.0038841490
5,20,10,0.0038662710
5,20,10,0.0038802220
5,20,10,0.0039153430
5,20,20,0.0039218560
5,20,20,0.0039168970
5,20,20,0.0039173190
5,20,20,0.0039228510
5,20,20,0.0039176180
5,21,10,0.0039054560
5,21,10,0.0038990830
5,21,10,0.0039052840
5,21,10,0.0038940280
5,21,10,0.0038984190
5,21,20,0.0038996880
5,21,20,0.0038972710
5,21,20,0.0038942530
5,21,20,0.0038962760
5,21,20,0.0038996150
5,22,10,0.0042911220
5,22,10,0.0042938220
5,22,10,0.0042892580
5,22,10,0.0042948830
5,22,10,0.0042905050
5,22,20,0.0042909460
5,22,20,0.0042804580
5,22,20,0.0042846080
5,22,20,0.0042847660
5,22,20,0.0042930080
5,23,10,0.0023132650
5,23,10,0.0023091003
5,23,10,0.0046198550
5,23,10,0.0046148480
5,23,10,0.0046345090
5,23,20,0.0046251950
5,23,20,0.0046143570
5,23,20,0.0046230810
5,23,20,0.0046210430
5,23,20,0.0046152810
5,24,10,0.0049151340
5,24,10,0.0038063460
5,24,10,0.0037724380
5,24,10,0.0037849570
5,24,10,0.0037718610
5,24,20,0.0037928270
5,24,20,0.0037722380
5,24,20,0.0037742390
5,24,20,0.0037814660
5,24,20,0.0037681930
5,25,10,0.0040864930
5,25,10,0.0041079960
5,25,10,0.0040738340
5,25,10,0.0040698080
5,25,10,0.0040676330
5,25,20,0.0040891860
5,25,20,0.0040746210
5,25,20,0.0040869720
5,25,20,0.0040694440
5,25,20,0.0040856560
5,26,10,0.0043819160
5,26,10,0.0043876970
5,26,10,0.0043828980
5,26,10,0.0043843540
5,26,10,0.0043865860
5,26,20,0.0043825390
5,26,20,0.0043839140
5,26,20,0.0043865790
5,26,20,0.0043873930
5,26,20,0.0043843120
5,27,10,0.0035509960
5,27,10,0.0047371790
5,27,10,0.0047357330
5,27,10,0.0047370640
5,27,10,0.0047342140
5,27,20,0.0047349230
5,27,20,0.0047355390
5,27,20,0.0047355630
5,27,20,0.0047377770
5,27,20,0.0047368730
5,28,10,0.0050906190
5,28,10,0.0050899310
5,28,10,0.0051287490
5,28,10,0.0050926610
5,28,10,0.0050898680
5,28,20,0.0050902440
5,28,20,0.0050911340
5,28,20,0.0050915680
5,28,20,0.0050905550
5,28,20,0.0050910350
5,29,10,0.0054537270
5,29,10,0.0054520460
5,29,10,0.0054521150
5,29,10,0.0054501310
5,29,10,0.0054533990
5,29,20,0.0054528910
5,29,20,0.0054501390
5,29,20,0.0054537100
5,29,20,0.0055637380
5,29,20,0.0055114610
5,30,10,0.0058766630
5,30,10,0.0058920400
5,30,10,0.0058798440
5,30,10,0.0058648940
5,30,10,0.0058683990
5,30,20,0.0058444630
5,30,20,0.0061948430
5,30,20,0.0062328980
5,30,20,0.0059079830
5,30,20,0.0058716320
5,31,10,0.0062770310
5,31,10,0.0062869850
5,31,10,0.0062540270
5,31,10,0.0064562610
5,31,10,0.0062722290
5,31,20,0.0063534120
5,31,20,0.0062706120
5,31,20,0.0062302420
5,31,20,0.0062089420
5,31,20,0.0062074850
