cca,size,density,mxv_time
7,10,10,0.0007723389
7,10,10,0.0007361345
7,10,10,0.0007280803
7,10,10,0.0007015679
7,10,10,0.0009641420
7,10,20,0.0011925930
7,10,20,0.0012449540
7,10,20,0.0012856650
7,10,20,0.0012809650
7,10,20,0.0012858780
7,11,10,0.0007084070
7,11,10,0.0006544029
7,11,10,0.0006383247
7,11,10,0.0006128575
7,11,10,0.0008480003
7,11,20,0.0012146420
7,11,20,0.0012037490
7,11,20,0.0012363740
7,11,20,0.0011932740
7,11,20,0.0012335940
7,12,10,0.0011647680
7,12,10,0.0011825930
7,12,10,0.0012452040
7,12,10,0.0012590430
7,12,10,0.0012572060
7,12,20,0.0012435510
7,12,20,0.0011934660
7,12,20,0.0011837350
7,12,20,0.0011082430
7,12,20,0.0011917040
7,13,10,0.0012129570
7,13,10,0.0011806340
7,13,10,0.0011628420
7,13,10,0.0011447340
7,13,10,0.0011378610
7,13,20,0.0011258870
7,13,20,0.0011510970
7,13,20,0.0011483210
7,13,20,0.0011396200
7,13,20,0.0011066450
7,14,10,0.0005846110
7,14,10,0.0010617310
7,14,10,0.0010732950
7,14,10,0.0010711430
7,14,10,0.0010651510
7,14,20,0.0010619640
7,14,20,0.0010681590
7,14,20,0.0010176210
7,14,20,0.0010155060
7,14,20,0.0010190830
7,15,10,0.0005572087
7,15,10,0.0005955899
7,15,10,0.0011871010
7,15,10,0.0011481670
7,15,10,0.0011340420
7,15,20,0.0011567820
7,15,20,0.0012019240
7,15,20,0.0012052420
7,15,20,0.0011517240
7,15,20,0.0011866660
7,16,10,0.0012314110
7,16,10,0.0012359060
7,16,10,0.0012272290
7,16,10,0.0012343740
7,16,10,0.0012328960
7,16,20,0.0012337790
7,16,20,0.0012371150
7,16,20,0.0012348620
7,16,20,0.0012387660
7,16,20,0.0012344990
7,17,10,0.0013099030
7,17,10,0.0013061650
7,17,10,0.0013112330
7,17,10,0.0013010950
7,17,10,0.0013040310
7,17,20,0.0013048390
7,17,20,0.0013121430
7,17,20,0.0013052620
7,17,20,0.0013090870
7,17,20,0.0013047750
7,18,10,0.0013575320
7,18,10,0.0013816020
7,18,10,0.0013770830
7,18,10,0.0013559590
7,18,10,0.0013838690
7,18,20,0.0013585480
7,18,20,0.0013583780
7,18,20,0.0013892050
7,18,20,0.0013862750
7,18,20,0.0013884070
7,19,10,0.0007044841
7,19,10,0.0007123544
7,19,10,0.0007091332
7,19,10,0.0007140134
7,19,10,0.0010438085
7,19,20,0.0014142910
7,19,20,0.0013803970
7,19,20,0.0013726610
7,19,20,0.0013628020
7,19,20,0.0013613180
7,20,10,0.0014681850
7,20,10,0.0014132610
7,20,10,0.0015399540
7,20,10,0.0016308550
7,20,10,0.0014683040
7,20,20,0.0014094390
7,20,20,0.0014419540
7,20,20,0.0014055530
7,20,20,0.0014766620
7,20,20,0.0014773990
7,21,10,0.0016868940
7,21,10,0.0016769760
7,21,10,0.0016558010
7,21,10,0.0016490290
7,21,10,0.0016636600
7,21,20,0.0016575000
7,21,20,0.0017513540
7,21,20,0.0016691630
7,21,20,0.0016569650
7,21,20,0.0016549940
7,22,10,0.0020207750
7,22,10,0.0020918630
7,22,10,0.0020111510
7,22,10,0.0021709350
7,22,10,0.0020274080
7,22,20,0.0020190610
7,22,20,0.0020233170
7,22,20,0.0020284730
7,22,20,0.0020296470
7,22,20,0.0020308650
7,23,10,0.0010712717
7,23,10,0.0010563137
7,23,10,0.0021118740
7,23,10,0.0015933980
7,23,10,0.0020952310
7,23,20,0.0021289260
7,23,20,0.0021192700
7,23,20,0.0021044450
7,23,20,0.0021167920
7,23,20,0.0020801480
7,24,10,0.0024027830
7,24,10,0.0023986920
7,24,10,0.0023832740
7,24,10,0.0023880910
7,24,10,0.0024459220
7,24,20,0.0024032830
7,24,20,0.0024076920
7,24,20,0.0025556180
7,24,20,0.0023972040
7,24,20,0.0023940020
7,25,10,0.0029101520
7,25,10,0.0029091620
7,25,10,0.0028992960
7,25,10,0.0029142250
7,25,10,0.0029185200
7,25,20,0.0028883690
7,25,20,0.0029268820
7,25,20,0.0029170040
7,25,20,0.0029388110
7,25,20,0.0029117150
7,26,10,0.0030312830
7,26,10,0.0032051090
7,26,10,0.0030282490
7,26,10,0.0030134050
7,26,10,0.0030259360
7,26,20,0.0030339870
7,26,20,0.0030456160
7,26,20,0.0030303310
7,26,20,0.0030259970
7,26,20,0.0030286700
7,27,10,0.0016678921
7,27,10,0.0016767981
7,27,10,0.0033443280
7,27,10,0.0033446420
7,27,10,0.0033558890
7,27,20,0.0033307060
7,27,20,0.0033636810
7,27,20,0.0033587750
7,27,20,0.0034728670
7,27,20,0.0033513170
7,28,10,0.0038500460
7,28,10,0.0038786690
7,28,10,0.0038725810
7,28,10,0.0039726390
7,28,10,0.0038712070
7,28,20,0.0038737330
7,28,20,0.0038869080
7,28,20,0.0038916510
7,28,20,0.0038994880
7,28,20,0.0038808340
7,29,10,0.0040014420
7,29,10,0.0039797920
7,29,10,0.0040131550
7,29,10,0.0041254730
7,29,10,0.0040053040
7,29,20,0.0039935550
7,29,20,0.0040014020
7,29,20,0.0039877480
7,29,20,0.0039886230
7,29,20,0.0039977040
7,30,10,0.0043336270
7,30,10,0.0043509890
7,30,10,0.0043592330
7,30,10,0.0043726850
7,30,10,0.0043645080
7,30,20,0.0043634250
7,30,20,0.0043622320
7,30,20,0.0043578360
7,30,20,0.0043582330
7,30,20,0.0043801340
7,31,10,0.0049538300
7,31,10,0.0049495310
7,31,10,0.0049486010
7,31,10,0.0049614580
7,31,10,0.0049549550
7,31,20,0.0049642710
7,31,20,0.0049582560
7,31,20,0.0049526420
7,31,20,0.0049551130
7,31,20,0.0049691830
