cca,size,density,mxv_time
3,10,10,0.0010461810
3,10,10,0.0009633459
3,10,10,0.0008967926
3,10,10,0.0008382364
3,10,10,0.0010207307
3,10,20,0.0011543595
3,10,20,0.0011529865
3,10,20,0.0011548965
3,10,20,0.0011171600
3,10,20,0.0014620340
3,11,10,0.0008484632
3,11,10,0.0008052736
3,11,10,0.0007665272
3,11,10,0.0007350162
3,11,10,0.0009614477
3,11,20,0.0014329880
3,11,20,0.0013961110
3,11,20,0.0013750190
3,11,20,0.0013749270
3,11,20,0.0013777510
3,12,10,0.0012038755
3,12,10,0.0016114170
3,12,10,0.0016139530
3,12,10,0.0016298810
3,12,10,0.0016168720
3,12,20,0.0016097180
3,12,20,0.0016121140
3,12,20,0.0016145250
3,12,20,0.0016090720
3,12,20,0.0016054770
3,13,10,0.0018712470
3,13,10,0.0018712420
3,13,10,0.0018585090
3,13,10,0.0018677390
3,13,10,0.0018591210
3,13,20,0.0018715980
3,13,20,0.0018561870
3,13,20,0.0018595590
3,13,20,0.0018715790
3,13,20,0.0018629670
3,14,10,0.0010656137
3,14,10,0.0021260200
3,14,10,0.0021366630
3,14,10,0.0021368770
3,14,10,0.0021357070
3,14,20,0.0021471770
3,14,20,0.0021404200
3,14,20,0.0021436400
3,14,20,0.0021395330
3,14,20,0.0021397740
3,15,10,0.0012120808
3,15,10,0.0012116577
3,15,10,0.0018212160
3,15,10,0.0018207460
3,15,10,0.0024292200
3,15,20,0.0024159140
3,15,20,0.0024265860
3,15,20,0.0024283960
3,15,20,0.0024229290
3,15,20,0.0024216210
3,16,10,0.0027449690
3,16,10,0.0027426120
3,16,10,0.0027399300
3,16,10,0.0027478260
3,16,10,0.0027446650
3,16,20,0.0027469880
3,16,20,0.0027405270
3,16,20,0.0027437670
3,16,20,0.0027389580
3,16,20,0.0027491430
3,17,10,0.0030972500
3,17,10,0.0030948020
3,17,10,0.0030829330
3,17,10,0.0030936780
3,17,10,0.0030930480
3,17,20,0.0030981940
3,17,20,0.0030956450
3,17,20,0.0030923420
3,17,20,0.0030879200
3,17,20,0.0030913590
3,18,10,0.0037507250
3,18,10,0.0037491730
3,18,10,0.0037448910
3,18,10,0.0037411070
3,18,10,0.0037452000
3,18,20,0.0037443110
3,18,20,0.0037486150
3,18,20,0.0037413880
3,18,20,0.0037411470
3,18,20,0.0037469450
3,19,10,0.0020594230
3,19,10,0.0020544165
3,19,10,0.0027410653
3,19,10,0.0030873780
3,19,10,0.0030840205
3,19,20,0.0041141300
3,19,20,0.0030907670
3,19,20,0.0041342620
3,19,20,0.0041129560
3,19,20,0.0041077090
3,20,10,0.0045546940
3,20,10,0.0045511040
3,20,10,0.0045525670
3,20,10,0.0045569270
3,20,10,0.0045545750
3,20,20,0.0045478780
3,20,20,0.0045476320
3,20,20,0.0045488160
3,20,20,0.0045550060
3,20,20,0.0045552580
3,21,10,0.0046122800
3,21,10,0.0046116810
3,21,10,0.0046158720
3,21,10,0.0046150270
3,21,10,0.0046142330
3,21,20,0.0046156860
3,21,20,0.0046118340
3,21,20,0.0046070210
3,21,20,0.0046101440
3,21,20,0.0047463040
3,22,10,0.0050439730
3,22,10,0.0050482240
3,22,10,0.0050435690
3,22,10,0.0050480090
3,22,10,0.0051784430
3,22,20,0.0050407850
3,22,20,0.0050518910
3,22,20,0.0050485970
3,22,20,0.0050507930
3,22,20,0.0050489390
3,23,10,0.0027405297
3,23,10,0.0027405441
3,23,10,0.0042072610
3,23,10,0.0041250515
3,23,10,0.0041249875
3,23,20,0.0041235950
3,23,20,0.0054949210
3,23,20,0.0055017660
3,23,20,0.0055004050
3,23,20,0.0055019230
3,24,10,0.0064396480
3,24,10,0.0064035540
3,24,10,0.0063964000
3,24,10,0.0063992150
3,24,10,0.0064422990
3,24,20,0.0064437520
3,24,20,0.0064441920
3,24,20,0.0064412800
3,24,20,0.0064440370
3,24,20,0.0064355570
3,25,10,0.0064511930
3,25,10,0.0064528910
3,25,10,0.0064496580
3,25,10,0.0064545880
3,25,10,0.0062097870
3,25,20,0.0048362780
3,25,20,0.0048497560
3,25,20,0.0048335610
3,25,20,0.0048493710
3,25,20,0.0048577180
3,26,10,0.0052273690
3,26,10,0.0052101880
3,26,10,0.0052293990
3,26,10,0.0052146550
3,26,10,0.0052172890
3,26,20,0.0052280720
3,26,20,0.0052257930
3,26,20,0.0052294590
3,26,20,0.0052118800
3,26,20,0.0052131750
3,27,10,0.0037642990
3,27,10,0.0045265440
3,27,10,0.0045253850
3,27,10,0.0060036230
3,27,10,0.0060347330
3,27,20,0.0060324140
3,27,20,0.0060297520
3,27,20,0.0060249590
3,27,20,0.0060279040
3,27,20,0.0060343980
3,28,10,0.0060372250
3,28,10,0.0060403180
3,28,10,0.0060359640
3,28,10,0.0060338260
3,28,10,0.0060345810
3,28,20,0.0060348960
3,28,20,0.0060371620
3,28,20,0.0060348020
3,28,20,0.0060386140
3,28,20,0.0060388990
3,29,10,0.0064654150
3,29,10,0.0064696770
3,29,10,0.0064737580
3,29,10,0.0064686580
3,29,10,0.0064732160
3,29,20,0.0064675080
3,29,20,0.0064704040
3,29,20,0.0064724920
3,29,20,0.0064717220
3,29,20,0.0064707500
3,30,10,0.0072359760
3,30,10,0.0072287040
3,30,10,0.0072353080
3,30,10,0.0072413600
3,30,10,0.0072422600
3,30,20,0.0072406250
3,30,20,0.0072426710
3,30,20,0.0072413990
3,30,20,0.0072416880
3,30,20,0.0072413080
3,31,10,0.0055355930
3,31,10,0.0073827910
