cca,size,density,mxv_time
2,10,10,0.0010891094
2,10,10,0.0010079217
2,10,10,0.0009410990
2,10,10,0.0018067680
2,10,10,0.0013450275
2,10,20,0.0017095680
2,10,20,0.0017180510
2,10,20,0.0008575000
2,10,20,0.0008514580
2,10,20,0.0017046560
2,11,10,0.0009456783
2,11,10,0.0008920356
2,11,10,0.0008483875
2,11,10,0.0008097119
2,11,10,0.0016015480
2,11,20,0.0007829480
2,11,20,0.0007878980
2,11,20,0.0007931000
2,11,20,0.0008069065
2,11,20,0.0007942610
2,12,10,0.0009442790
2,12,10,0.0009271680
2,12,10,0.0009327550
2,12,10,0.0009306660
2,12,10,0.0009236190
2,12,20,0.0009469380
2,12,20,0.0009343500
2,12,20,0.0009276670
2,12,20,0.0009495380
2,12,20,0.0009273130
2,13,10,0.0011020310
2,13,10,0.0010835500
2,13,10,0.0010611060
2,13,10,0.0010923750
2,13,10,0.0010770940
2,13,20,0.0010667720
2,13,20,0.0010606260
2,13,20,0.0010863750
2,13,20,0.0010612220
2,13,20,0.0010812600
2,14,10,0.0012342000
2,14,10,0.0012317840
2,14,10,0.0012549550
2,14,10,0.0012381670
2,14,10,0.0012308650
2,14,20,0.0012276470
2,14,20,0.0012291200
2,14,20,0.0012350370
2,14,20,0.0012420250
2,14,20,0.0012751100
2,15,10,0.0013989877
2,15,10,0.0027972180
2,15,10,0.0027873380
2,15,10,0.0013975850
2,15,10,0.0014979700
2,15,20,0.0014500870
2,15,20,0.0015122010
2,15,20,0.0014646535
2,15,20,0.0014476500
2,15,20,0.0014142370
2,16,10,0.0016644115
2,16,10,0.0016479895
2,16,10,0.0016568240
2,16,10,0.0016790550
2,16,10,0.0016592400
2,16,20,0.0016496990
2,16,20,0.0016288152
2,16,20,0.0016665113
2,16,20,0.0016455785
2,16,20,0.0015835240
2,17,10,0.0018427650
2,17,10,0.0018656615
2,17,10,0.0018528135
2,17,10,0.0018611210
2,17,10,0.0018706040
2,17,20,0.0018443425
2,17,20,0.0018508070
2,17,20,0.0018531290
2,17,20,0.0018681425
2,17,20,0.0018744380
2,18,10,0.0020736540
2,18,10,0.0020503410
2,18,10,0.0020836450
2,18,10,0.0021026200
2,18,10,0.0020802402
2,18,20,0.0019746790
2,18,20,0.0020461610
2,18,20,0.0020529675
2,18,20,0.0020628465
2,18,20,0.0020573485
2,19,10,0.0021559290
2,19,10,0.0021605249
2,19,10,0.0042642942
2,19,10,0.0022885505
2,19,10,0.0023292600
2,19,20,0.0023052735
2,19,20,0.0023053780
2,19,20,0.0022655165
2,19,20,0.0023129505
2,19,20,0.0025941270
2,20,10,0.0025346705
2,20,10,0.0025739935
2,20,10,0.0025660310
2,20,10,0.0025610570
2,20,10,0.0025609520
2,20,20,0.0025464875
2,20,20,0.0025108875
2,20,20,0.0025409595
2,20,20,0.0025539835
2,20,20,0.0024836770
2,21,10,0.0028364735
2,21,10,0.0028262575
2,21,10,0.0027894610
2,21,10,0.0028379110
2,21,10,0.0026752320
2,21,20,0.0027834627
2,21,20,0.0027416205
2,21,20,0.0028186355
2,21,20,0.0027699145
2,21,20,0.0028147235
2,22,10,0.0030621190
2,22,10,0.0030775255
2,22,10,0.0030255395
2,22,10,0.0030670970
2,22,10,0.0030566075
2,22,20,0.0030139230
2,22,20,0.0030256190
2,22,20,0.0029209135
2,22,20,0.0030246655
2,22,20,0.0030460030
2,23,10,0.0061943988
2,23,10,0.0031396608
2,23,10,0.0033986190
2,23,10,0.0034069625
2,23,10,0.0034041058
2,23,20,0.0033695605
2,23,20,0.0033699380
2,23,20,0.0033716285
2,23,20,0.0034057050
2,23,20,0.0033975245
2,24,10,0.0037652275
2,24,10,0.0036921048
2,24,10,0.0036844005
2,24,10,0.0037410035
2,24,10,0.0036281055
2,24,20,0.0036521415
2,24,20,0.0036686980
2,24,20,0.0036481615
2,24,20,0.0036119380
2,24,20,0.0036351285
2,25,10,0.0040321915
2,25,10,0.0037787050
2,25,10,0.0038389650
2,25,10,0.0038545035
2,25,10,0.0040162715
2,25,20,0.0038979725
2,25,20,0.0039370615
2,25,20,0.0039538470
2,25,20,0.0038965505
2,25,20,0.0039352305
2,26,10,0.0043131032
2,26,10,0.0042614970
2,26,10,0.0038023615
2,26,10,0.0032603790
2,26,10,0.0032623563
2,26,20,0.0032131850
2,26,20,0.0031593160
2,26,20,0.0031606345
2,26,20,0.0031820290
2,26,20,0.0032879110
2,27,10,0.0063749067
2,27,10,0.0035138090
2,27,10,0.0035250375
2,27,10,0.0035645523
2,27,10,0.0036714085
2,27,20,0.0035494185
2,27,20,0.0035674853
2,27,20,0.0035507370
2,27,20,0.0035656475
2,27,20,0.0034833145
2,28,10,0.0038311018
2,28,10,0.0039737785
2,28,10,0.0037902535
2,28,10,0.0038330182
2,28,10,0.0037896095
2,28,20,0.0037890147
2,28,20,0.0037567305
2,28,20,0.0037316125
2,28,20,0.0038363095
2,28,20,0.0037143685
2,29,10,0.0040079565
2,29,10,0.0040993955
2,29,10,0.0039868705
2,29,10,0.0041385735
2,29,10,0.0039695225
2,29,20,0.0040481240
2,29,20,0.0041211095
2,29,20,0.0040260070
2,29,20,0.0039373400
2,29,20,0.0041392540
2,30,10,0.0044384225
2,30,10,0.0043598625
2,30,10,0.0043982148
2,30,10,0.0044406525
2,30,10,0.0042980140
2,30,20,0.0043073720
2,30,20,0.0043270605
2,30,20,0.0042374105
2,30,20,0.0043042542
2,30,20,0.0042159627
2,31,10,0.0045935505
2,31,10,0.0046711975
2,31,10,0.0048087070
