cca,size,density,mxv_time
6,10,10,0.0001169893
6,10,10,0.0001177385
6,10,10,0.0001164330
6,10,10,0.0001171090
6,10,10,0.0001167714
6,10,20,0.0001147409
6,10,20,0.0001073986
6,10,20,0.0001078640
6,10,20,0.0001078676
6,10,20,0.0001083180
6,11,10,0.0001762785
6,11,10,0.0001710464
6,11,10,0.0001714310
6,11,10,0.0001705908
6,11,10,0.0001648748
6,11,20,0.0001596524
6,11,20,0.0001608818
6,11,20,0.0001589542
6,11,20,0.0001594951
6,11,20,0.0001591438
6,12,10,0.0002464695
6,12,10,0.0002381874
6,12,10,0.0002384033
6,12,10,0.0002266191
6,12,10,0.0002257560
6,12,20,0.0002248098
6,12,20,0.0002144113
6,12,20,0.0002131768
6,12,20,0.0002097758
6,12,20,0.0002016617
6,13,10,0.0002693112
6,13,10,0.0002596844
6,13,10,0.0002552366
6,13,10,0.0002519905
6,13,10,0.0002434642
6,13,20,0.0002434870
6,13,20,0.0002352588
6,13,20,0.0002333815
6,13,20,0.0002316481
6,13,20,0.0002225683
6,14,10,0.0003019839
6,14,10,0.0002884789
6,14,10,0.0002893923
6,14,10,0.0002882549
6,14,10,0.0002879518
6,14,20,0.0002894181
6,14,20,0.0002883703
6,14,20,0.0002895212
6,14,20,0.0002899870
6,14,20,0.0002902456
6,15,10,0.0003580883
6,15,10,0.0003580147
6,15,10,0.0003577984
6,15,10,0.0003589027
6,15,10,0.0003577529
6,15,20,0.0003581722
6,15,20,0.0003586784
6,15,20,0.0007200240
6,15,20,0.0003588375
6,15,20,0.0007200090
6,16,10,0.0009017670
6,16,10,0.0009040520
6,16,10,0.0009004670
6,16,10,0.0009022940
6,16,10,0.0009039210
6,16,20,0.0009026960
6,16,20,0.0008998160
6,16,20,0.0009025340
6,16,20,0.0010519470
6,16,20,0.0009035290
6,17,10,0.0010725450
6,17,10,0.0010767360
6,17,10,0.0010747690
6,17,10,0.0010724160
6,17,10,0.0010762080
6,17,20,0.0010755620
6,17,20,0.0010728160
6,17,20,0.0010754270
6,17,20,0.0010740220
6,17,20,0.0010745500
6,18,10,0.0006551999
6,18,10,0.0013331480
6,18,10,0.0013148670
6,18,10,0.0013122280
6,18,10,0.0013098380
6,18,20,0.0013020130
6,18,20,0.0013074740
6,18,20,0.0013156520
6,18,20,0.0012996990
6,18,20,0.0012912980
6,19,10,0.0007514767
6,19,10,0.0007510996
6,19,10,0.0007523459
6,19,10,0.0007525601
6,19,10,0.0009995960
6,19,20,0.0011310660
6,19,20,0.0011310340
6,19,20,0.0015043270
6,19,20,0.0011303270
6,19,20,0.0015048740
6,20,10,0.0017498440
6,20,10,0.0017450610
6,20,10,0.0017530070
6,20,10,0.0017568960
6,20,10,0.0017518430
6,20,20,0.0017505950
6,20,20,0.0017506100
6,20,20,0.0017533190
6,20,20,0.0017484700
6,20,20,0.0017477840
6,21,10,0.0019690450
6,21,10,0.0019753270
6,21,10,0.0019708610
6,21,10,0.0019826380
6,21,10,0.0019750920
6,21,20,0.0019765300
6,21,20,0.0019779530
6,21,20,0.0019753180
6,21,20,0.0019642520
6,21,20,0.0019632010
6,22,10,0.0022599400
6,22,10,0.0022532660
6,22,10,0.0022512510
6,22,10,0.0022506390
6,22,10,0.0022526920
6,22,20,0.0022562230
6,22,20,0.0022637170
6,22,20,0.0022605580
6,22,20,0.0022645870
6,22,20,0.0022592370
6,23,10,0.0012494541
6,23,10,0.0012529761
6,23,10,0.0025068480
6,23,10,0.0018774480
6,23,10,0.0025010710
6,23,20,0.0024986240
6,23,20,0.0024959340
6,23,20,0.0025046650
6,23,20,0.0024949990
6,23,20,0.0025065380
6,24,10,0.0028277310
6,24,10,0.0028136640
6,24,10,0.0028080330
6,24,10,0.0028264200
6,24,10,0.0028231900
6,24,20,0.0028223490
6,24,20,0.0028183520
6,24,20,0.0028254120
6,24,20,0.0028253890
6,24,20,0.0028207440
6,25,10,0.0030992750
6,25,10,0.0030899010
6,25,10,0.0030885310
6,25,10,0.0030985030
6,25,10,0.0030996650
6,25,20,0.0032668310
6,25,20,0.0030932150
6,25,20,0.0030960340
6,25,20,0.0030910810
6,25,20,0.0030966130
6,26,10,0.0034485510
6,26,10,0.0034402630
6,26,10,0.0034399660
6,26,10,0.0034426530
6,26,10,0.0034421340
6,26,20,0.0034446830
6,26,20,0.0034510310
6,26,20,0.0034455070
6,26,20,0.0034412980
6,26,20,0.0034437380
6,27,10,0.0018800541
6,27,10,0.0018810036
6,27,10,0.0037567870
6,27,10,0.0037479350
6,27,10,0.0037587200
6,27,20,0.0037540350
6,27,20,0.0037502870
6,27,20,0.0037531220
6,27,20,0.0037578820
6,27,20,0.0037558680
6,28,10,0.0041364190
6,28,10,0.0041326290
6,28,10,0.0041276150
