cca,size,density,total_time
4,10,10,4.0384622210
4,10,10,3.8091249220
4,10,10,3.8078750510
4,10,10,3.8070515470
4,10,10,1.1725608730
4,10,10,0.7995923570
4,10,10,0.8000250730
4,10,10,0.7995057220
4,10,10,0.8013900100
4,10,10,0.8002786550
4,10,20,0.8013752760
4,10,20,0.8000888450
4,10,20,0.7997639300
4,10,20,0.8030583750
4,10,20,0.8006326960
4,10,20,0.8003014710
4,10,20,0.8131041740
4,10,20,0.7994635590
4,10,20,0.8017566090
4,10,20,0.8004761520
4,11,10,4.9663444900
4,11,10,4.9643597850
4,11,10,4.9704620530
4,11,10,1.3906014710
4,11,10,0.9459123170
4,11,10,0.9463699860
4,11,10,0.9464148430
4,11,10,0.9463685370
4,11,10,0.9468177920
4,11,10,0.9467899800
4,11,20,0.9462055310
4,11,20,0.9375672000
4,11,20,0.9436171950
4,11,20,0.9466576420
4,11,20,0.9463859320
4,11,20,0.9468348490
4,11,20,0.9463304600
4,11,20,0.9464233310
4,11,20,0.9464967580
4,11,20,0.9464489470
4,12,10,1.0863974070
4,12,10,1.6095244250
4,12,10,1.0872853270
4,12,10,1.0858600250
4,12,10,1.0869379570
4,12,10,1.0864772440
4,12,10,1.0869338960
4,12,10,1.0853577910
4,12,10,1.0982134230
4,12,10,1.0872450420
4,12,20,1.0864565960
4,12,20,1.0878225680
4,12,20,1.0870703720
4,12,20,1.0875900440
4,12,20,1.0856706370
4,12,20,1.0878779050
4,12,20,1.0859438300
4,12,20,1.0875195190
4,12,20,1.0879990150
4,12,20,1.0868124200
4,13,10,1.2577226010
4,13,10,1.2606217430
4,13,10,1.2585236890
4,13,10,1.2580943850
4,13,10,1.2589936100
4,13,10,1.2582736150
4,13,10,1.2575928420
4,13,10,1.2579399140
4,13,10,1.2579377980
4,13,10,1.2583791040
4,13,20,1.2585234080
4,13,20,1.2574414190
4,13,20,1.2582168780
4,13,20,1.2581369550
4,13,20,1.2579143710
4,13,20,1.2586964120
4,13,20,1.2643170270
4,13,20,1.2627534480
4,13,20,1.2578029300
4,13,20,1.2577141420
4,14,10,9.7746005570
4,14,10,9.7746270270
4,14,10,9.7742335400
4,14,10,2.1201810930
4,14,10,1.4315766030
4,14,10,1.4310285850
4,14,10,1.4389198200
4,14,10,1.4349023120
4,14,10,1.4315267470
4,14,10,1.4313676260
4,14,20,1.4313524810
4,14,20,1.4319706380
4,14,20,1.4312873820
4,14,20,1.4316641480
4,14,20,1.4311570470
4,14,20,1.4307192830
4,14,20,1.4324158360
4,14,20,1.4317780910
4,14,20,1.4315152610
4,14,20,1.4314203890
4,15,10,11.9464232090
4,15,10,12.2135136400
4,15,10,2.4097352220
4,15,10,2.4100470280
4,15,10,1.6197464160
4,15,10,1.6199822090
4,15,10,1.6214950690
4,15,10,1.8938559680
4,15,10,1.6198979020
4,15,10,1.7209619400
4,15,20,1.7955059410
4,15,20,1.6207563050
4,15,20,1.8984428140
4,15,20,1.6200047480
4,15,20,1.9009948260
4,15,20,1.6207910030
4,15,20,1.9043103580
4,15,20,1.6190301880
4,15,20,1.7205784390
4,15,20,1.8060390390
4,16,10,15.5524790480
4,16,10,14.9798747410
4,16,10,1.8191948500
4,16,10,1.8198596370
4,16,10,1.8190999930
4,16,10,1.8206645840
4,16,10,1.8263016180
4,16,10,1.8202112900
4,16,10,1.8198737320
4,16,10,1.8278892390
4,16,20,1.8187666230
4,16,20,1.8189634740
4,16,20,1.8195538020
4,16,20,1.8331073890
4,16,20,1.8185826190
4,16,20,1.8192194770
4,16,20,1.8187746730
4,16,20,1.8188702880
4,16,20,1.8186979030
4,16,20,1.8199712170
4,17,10,2.0274976590
4,17,10,3.0316065860
4,17,10,2.0270736590
4,17,10,2.0422932820
4,17,10,2.0287688950
4,17,10,2.0276659720
4,17,10,2.0296138980
4,17,10,2.0281342630
4,17,10,2.0272112760
4,17,10,2.0290635240
4,17,20,2.0296051450
4,17,20,2.0289344630
4,17,20,2.0285858470
4,17,20,2.0273994460
4,17,20,2.0275665150
4,17,20,2.0293880440
4,17,20,2.0322195050
4,17,20,2.0303033960
4,17,20,2.0275860790
4,17,20,2.0275014860
4,18,10,2.2635912470
4,18,10,2.2638805680
4,18,10,2.2720163840
4,18,10,2.2641095080
4,18,10,2.2638706990
4,18,10,2.2645334940
4,18,10,2.2618319740
4,18,10,2.2642510490
4,18,10,2.2628593760
4,18,10,2.2636103970
4,18,20,2.2631947000
4,18,20,2.2633385960
4,18,20,2.2620600300
4,18,20,2.2645907470
4,18,20,2.2636344520
4,18,20,2.2633564960
4,18,20,2.2716858780
4,18,20,2.2619355260
4,18,20,2.2637753790
4,18,20,2.2619593310
4,19,10,2.7505420930
4,19,10,4.1054274840
4,19,10,2.7522282830
4,19,10,2.7608981270
4,19,10,2.7536236140
4,19,10,2.7542272030
4,19,10,2.7514606490
4,19,10,2.7537451610
4,19,10,2.7516190030
4,19,10,2.7490379840
4,19,20,2.7532768850
4,19,20,2.7531268450
4,19,20,2.7498080440
4,19,20,2.7527835780
4,19,20,2.7518098520
4,19,20,2.7495970140
4,19,20,2.7507735200
4,19,20,2.7545087130
4,19,20,2.7492612990
4,19,20,2.7517167560
4,20,10,2.8278231200
4,20,10,2.8636603410
4,20,10,2.8993657310
4,20,10,2.8747015440
4,20,10,2.8470421430
4,20,10,2.8645699070
4,20,10,2.8923913960
4,20,10,2.9077478110
4,20,10,2.8799840170
4,20,10,2.8765656520
4,20,20,2.9033045770
4,20,20,2.8767405630
4,20,20,2.8861462430
4,20,20,2.8998046750
4,20,20,2.8819202820
4,20,20,2.8781310520
4,20,20,2.8644033720
4,20,20,2.8402201270
4,20,20,2.8463650320
4,20,20,2.8408353670
4,21,10,3.0128361810
4,21,10,3.0126115410
4,21,10,3.0137099750
4,21,10,3.0121793140
4,21,10,3.0123984010
4,21,10,3.0284149200
4,21,10,3.0125342600
4,21,10,3.0123993980
4,21,10,3.0127443630
4,21,10,3.0128327840
4,21,20,3.0128351910
4,21,20,3.0128668800
4,21,20,3.0134500450
4,21,20,3.0122592810
4,21,20,3.0129637000
4,21,20,3.0126377170
4,21,20,3.0126326410
4,21,20,3.0121664610
4,21,20,3.0129561060
4,21,20,3.0121377550
4,22,10,3.2850528520
4,22,10,3.2849463910
4,22,10,3.2871645970
4,22,10,3.2864238930
4,22,10,3.2851052550
4,22,10,3.2866647150
4,22,10,3.2867047660
4,22,10,3.2863968500
4,22,10,3.2867392970
4,22,10,3.2861014770
4,22,20,3.2859850230
4,22,20,3.2851138140
4,22,20,3.2846248440
4,22,20,3.2847412440
4,22,20,3.2854836770
4,22,20,3.2845914100
4,22,20,3.2844710170
4,22,20,3.2840336270
4,22,20,3.2850283160
4,22,20,3.2852252370
4,23,10,3.5800998710
4,23,10,5.6757981250
4,23,10,3.5890569460
4,23,10,5.3656595960
4,23,10,3.5787837810
4,23,10,3.5804920860
4,23,10,3.5797974840
4,23,10,3.5796529720
4,23,10,3.5789042230
4,23,10,3.5798332430
4,23,20,3.5799599500
4,23,20,3.5804102060
4,23,20,3.5800030150
4,23,20,3.5802813070
4,23,20,3.5797755940
4,23,20,3.5802070840
4,23,20,3.5812131380
4,23,20,3.5797438190
4,23,20,3.5797570110
4,23,20,3.5806343370
4,24,10,3.8765073320
4,24,10,3.8782957210
4,24,10,3.8774919190
4,24,10,3.8760750450
4,24,10,3.8764363310
4,24,10,3.8764513700
4,24,10,3.8767709800
4,24,10,3.8768966370
4,24,10,3.8764695120
4,24,10,3.8846105510
4,24,20,3.8758326460
4,24,20,3.8755812530
4,24,20,3.8761891070
4,24,20,3.9085607290
4,24,20,3.8769745580
4,24,20,3.8754208870
4,24,20,3.8766948410
4,24,20,3.8897711530
4,24,20,3.8957414490
4,24,20,3.8761772510
4,25,10,4.2198839750
4,25,10,4.1976616250
4,25,10,4.2167302750
4,25,10,4.2100744400
4,25,10,4.1975907480
4,25,10,4.3607883240
4,25,10,4.2014784150
4,25,10,4.2044015630
4,25,10,4.2015160550
4,25,10,4.4881360970
4,25,20,4.1994532350
4,25,20,4.2001045680
4,25,20,4.1995158580
4,25,20,4.2154885510
4,25,20,4.2123190910
4,25,20,4.2021204690
4,25,20,4.1997797160
4,25,20,4.2178368400
4,25,20,4.1987482340
4,25,20,4.1990082030
4,26,10,4.5281835930
4,26,10,4.5348229920
4,26,10,4.5490399050
4,26,10,4.5260754930
4,26,10,4.5269433220
4,26,10,4.5288114100
4,26,10,4.5267311350
4,26,10,4.5262173030
4,26,10,4.5270166900
4,26,10,4.5273915100
4,26,20,4.5263958800
4,26,20,4.5270921180
4,26,20,4.5264294720
4,26,20,4.5285861220
4,26,20,4.5268064020
4,26,20,4.5272472200
4,26,20,4.5268802280
4,26,20,4.5272795940
4,26,20,4.5291574620
4,26,20,4.5277879280
4,27,10,4.8557361740
4,27,10,7.2984127180
4,27,10,4.8553370540
4,27,10,7.2913340750
4,27,10,4.8557604070
4,27,10,4.8585906450
4,27,10,4.8699868850
4,27,10,4.8691087940
4,27,10,5.0268523400
4,27,10,4.8562096350
4,27,20,4.8558479420
4,27,20,4.8549833350
4,27,20,4.8735992980
4,27,20,4.8666929530
4,27,20,4.8552504770
4,27,20,4.8714373910
4,27,20,4.8747353340
4,27,20,4.8562451320
4,27,20,4.8560863460
4,27,20,4.8564616090
4,28,10,5.2118057610
4,28,10,5.2119211520
4,28,10,5.2132464790
4,28,10,5.2170137450
4,28,10,5.2133011180
4,28,10,5.2132912510
4,28,10,5.2310561490
4,28,10,5.2258582480
4,28,10,5.2128453390
4,28,10,5.2179327840
4,28,20,5.2340676430
4,28,20,5.2132401140
4,28,20,5.2113501580
4,28,20,5.2126395610
