cca,size,density,total_time
5,10,10,0.0700046820
5,10,10,0.0505950820
5,10,10,0.0464360420
5,10,10,0.0464257760
5,10,10,0.0143510710
5,10,20,0.0098311720
5,10,20,0.0098255080
5,10,20,0.0098281570
5,10,20,0.0098314510
5,10,20,0.0098354790
5,11,10,0.0611058250
5,11,10,0.0611326220
5,11,10,0.0611241250
5,11,10,0.0611327230
5,11,10,0.0171894860
5,11,20,0.0117103810
5,11,20,0.0117097860
5,11,20,0.0117095820
5,11,20,0.0117098340
5,11,20,0.0117085430
5,12,10,0.0135793520
5,12,10,0.0135849160
5,12,10,0.0135825710
5,12,10,0.0135931850
5,12,10,0.0135759370
5,12,20,0.0135783130
5,12,20,0.0135812440
5,12,20,0.0135705290
5,12,20,0.0135868770
5,12,20,0.0139369240
5,13,10,0.0135229640
5,13,10,0.0120587400
5,13,10,0.0118208040
5,13,10,0.0118233780
5,13,10,0.0118280650
5,13,20,0.0118018640
5,13,20,0.0117955730
5,13,20,0.0118707360
5,13,20,0.0117898460
5,13,20,0.0117944100
5,14,10,0.0916809530
5,14,10,0.0135138210
5,14,10,0.0135840120
5,14,10,0.0135542410
5,14,10,0.0135900670
5,14,20,0.0135480080
5,14,20,0.0135495540
5,14,20,0.0136045660
5,14,20,0.0135046760
5,14,20,0.0135366520
5,15,10,0.1131846640
5,15,10,0.1132654200
5,15,10,0.0155338300
5,15,10,0.0155094500
5,15,10,0.0155095530
5,15,20,0.0155035750
5,15,20,0.0154994400
5,15,20,0.0154939440
5,15,20,0.0154785630
5,15,20,0.0154178180
5,16,10,0.0178666980
5,16,10,0.0176514260
5,16,10,0.0175626940
5,16,10,0.0175655600
5,16,10,0.0175619790
5,16,20,0.0175714780
5,16,20,0.0175720840
5,16,20,0.0176497150
5,16,20,0.0177529740
5,16,20,0.0173916160
5,17,10,0.0194674560
5,17,10,0.0195127590
5,17,10,0.0194899760
5,17,10,0.0194981930
5,17,10,0.0194994100
5,17,20,0.0197120270
5,17,20,0.0195057760
5,17,20,0.0195327820
5,17,20,0.0196966910
5,17,20,0.0195550880
5,18,10,0.0221267110
5,18,10,0.0217387900
5,18,10,0.0217506090
5,18,10,0.0217344500
5,18,10,0.0217339730
5,18,20,0.0217288840
5,18,20,0.0219996340
5,18,20,0.0217503940
5,18,20,0.0219354660
5,18,20,0.0217408420
5,19,10,0.2502242210
5,19,10,0.2501985960
5,19,10,0.0268877270
5,19,10,0.0403417430
5,19,10,0.0270719180
5,19,20,0.0270479860
5,19,20,0.0268942830
5,19,20,0.0268893950
5,19,20,0.0271068690
5,19,20,0.0268832150
5,20,10,0.0295709640
5,20,10,0.0295534620
5,20,10,0.0294871290
5,20,10,0.0294922240
5,20,10,0.0294668430
5,20,20,0.0297550330
5,20,20,0.0294771030
5,20,20,0.0294819640
5,20,20,0.0294798570
5,20,20,0.0294741190
5,21,10,0.0290674470
5,21,10,0.0290604820
5,21,10,0.0291593060
5,21,10,0.0293257050
5,21,10,0.0291799380
5,21,20,0.0292077030
5,21,20,0.0291875420
5,21,20,0.0291492820
5,21,20,0.0291349300
5,21,20,0.0291811600
5,22,10,0.0318880240
5,22,10,0.0318221470
5,22,10,0.0318854730
5,22,10,0.0323629280
5,22,10,0.0321514340
5,22,20,0.0320095960
5,22,20,0.0320696870
5,22,20,0.0321444040
5,22,20,0.0320690950
5,22,20,0.0320565420
5,23,10,0.3948359690
5,23,10,0.3943671120
5,23,10,0.0347724940
5,23,10,0.0348067840
5,23,10,0.0348148880
5,23,20,0.0348075890
5,23,20,0.0348527250
5,23,20,0.0348087420
5,23,20,0.0350353450
5,23,20,0.0348228420
5,24,10,0.0377191550
5,24,10,0.0377521390
5,24,10,0.0377064530
5,24,10,0.0377136770
5,24,10,0.0377023120
5,24,20,0.0377083850
5,24,20,0.0376960710
5,24,20,0.0376992990
5,24,20,0.0377016100
5,24,20,0.0377124800
5,25,10,0.0408830790
5,25,10,0.0409135820
5,25,10,0.0410098010
5,25,10,0.0410543400
5,25,10,0.0409187800
5,25,20,0.0409440300
5,25,20,0.0409684370
5,25,20,0.0412506220
5,25,20,0.0412511200
5,25,20,0.0872811630
5,26,10,0.0634395670
5,26,10,0.0587445550
5,26,10,0.0587746230
5,26,10,0.0587091580
5,26,10,0.0587060450
5,26,20,0.0587830370
5,26,20,0.0587992320
5,26,20,0.0587975380
5,26,20,0.0587696900
5,26,20,0.0587372070
5,27,10,0.0803645130
5,27,10,0.0478365760
5,27,10,0.0477355490
5,27,10,0.0475671890
5,27,10,0.0475094720
5,27,20,0.0475603860
5,27,20,0.0475613660
5,27,20,0.0475909850
5,27,20,0.0475456060
5,27,20,0.0476402460
5,28,10,0.0509276130
5,28,10,0.0510725920
5,28,10,0.0509953370
5,28,10,0.0509289870
5,28,10,0.0509533790
5,28,20,0.0509173190
5,28,20,0.0509170860
5,28,20,0.0509198070
5,28,20,0.0510908360
5,28,20,0.0509386980
5,29,10,0.0545519440
5,29,10,0.0545281850
5,29,10,0.0547077420
5,29,10,0.0546990990
5,29,10,0.0546989820
5,29,20,0.0551878200
5,29,20,0.0549813100
5,29,20,0.0549808800
5,29,20,0.0550585930
5,29,20,0.0550832480
5,30,10,0.0585048470
5,30,10,0.0583075820
5,30,10,0.0584545610
5,30,10,0.0583860370
5,30,10,0.0583002230
5,30,20,0.0583294150
5,30,20,0.0583997110
5,30,20,0.0583797020
5,30,20,0.0583958870
5,30,20,0.0584012410
5,31,10,0.0621722690
5,31,10,0.0621967600
5,31,10,0.0621814750
5,31,10,0.0622054040
5,31,10,0.0621713710
5,31,20,0.0623448630
5,31,20,0.0622049910
5,31,20,0.0621740850
5,31,20,0.0621560380
5,31,20,0.0622079380
