cca,size,total_time
1,21,147.2171810241
1,21,14.5640275230
1,21,14.6295472810
1,21,14.6350168190
1,21,14.6566782060
1,21,146.9758245470
1,21,14.6319829500
1,21,14.6351985060
1,21,14.8265568010
1,21,14.7190942720
1,21,14.6331835970
1,21,14.6547793430
1,21,14.6306384170
1,21,146.9674360460
1,21,14.6366653000
1,21,14.6632323150
1,21,146.9771253000
1,21,14.6685068320
1,21,14.6784134480
1,20,13.4264543040
1,20,13.4979277980
1,20,13.6261689950
1,20,13.4185345240
1,20,13.4540772090
1,20,13.4297987680
1,20,13.4744168570
1,20,13.4944174030
1,21,14.6630610230
1,21,14.5272448740
1,21,14.6339292630
1,21,14.8011463460
1,21,14.6988320140
1,21,14.6295247810
1,21,14.6325581650
1,21,14.6612288670
1,20,13.4468388100
1,20,13.4847363480
1,20,13.3515933480
1,20,13.4505411270
1,20,13.4742553920
1,20,13.4821647740
1,20,13.4296606560
1,20,13.4724802380
1,21,147.0076037360
1,21,14.6318174710
1,21,14.6285873130
1,21,14.6349482300
1,20,13.4309400320
1,20,13.7080184810
1,20,13.4808783540
1,20,13.4762804590
1,19,12.3157424910
1,19,12.4489385110
1,19,12.2948366940
1,19,12.2916385250
1,19,12.2945055970
1,19,12.3122402970
1,19,12.2899905860
1,19,12.2461579200
1,19,12.2844897700
1,19,12.2745182070
1,19,12.3165461880
1,19,12.2958449330
1,19,12.3729368510
1,19,12.5119953420
1,19,12.3477463400
1,19,12.2722145150
1,19,12.5404326660
1,19,12.5398354400
1,19,12.3414438210
1,19,6.3490582620
1,19,12.3710979550
1,19,12.3313686970
1,19,12.3446396770
1,19,12.3411455970
1,19,12.3318973820
1,19,12.3829182060
1,19,12.3462681400
1,19,12.3453085930
1,19,12.3430669330
1,19,12.3152674540
1,19,12.5419646590
1,19,12.4829480770
1,19,6.3445878730
1,19,12.3685971500
1,19,12.3543949340
1,19,12.5011277180
1,19,12.4220456990
1,19,12.3016469080
1,19,12.2947453700
1,19,12.3448732920
1,19,12.1955296980
1,19,12.2713994470
1,19,12.2702326310
1,19,12.2188391120
1,19,12.2678313610
1,19,12.2463955590
1,19,12.2804106560
1,19,12.3143104880
1,20,13.4997950050
1,20,13.5154118610
1,20,13.4113917600
1,20,13.5268124770
1,21,14.6016404610
1,21,147.3195770819
1,21,14.7220025470
1,21,14.8716474710
1,21,14.6409067930
1,21,14.6247777900
1,21,14.5998030390
1,21,14.5660121140
1,20,13.5255983360
1,20,13.7051416140
1,20,13.5238124380
1,20,13.4507848960
1,20,13.5773427230
1,20,13.7107869790
1,20,13.5602549600
1,20,13.5258098710
1,20,13.3647429180
1,20,13.5655182940
1,20,13.3562146660
1,20,13.3669872830
1,20,13.4215956480
1,20,13.6512794670
1,20,13.4482746680
1,20,13.4249596320
1,21,14.7526542600
1,21,14.6313249390
1,21,14.6731856590
1,21,14.6143414300
1,21,14.6669506110
1,21,14.6717064060
1,21,14.9069118250
1,21,14.9939512900
1,20,13.4779378110
1,20,13.4263290940
1,20,13.4762004020
1,20,13.5453767260
1,19,12.2236556200
1,19,12.2234363800
1,19,12.3033948450
1,19,12.2324248030
1,19,12.4644718580
1,19,12.2250864190
1,19,12.3446799540
1,19,12.2256896530
1,19,12.2102766450
1,19,12.4408194540
1,19,12.2494588790
1,19,12.2933008780
1,20,13.4329032830
1,20,13.4318138420
1,20,13.7492414420
1,20,13.3889936640
1,21,14.4825782910
1,21,14.8365922740
1,21,14.5547791660
1,21,14.5200841480
1,21,14.5861843200
