cca,size,density,total_time
1,10,10,17.8082487010
1,10,10,17.5860690540
1,10,10,17.5868821220
1,10,10,17.7831598190
1,10,10,3.6357233140
1,10,10,3.6338703650
1,10,10,1.8539540640
1,10,10,1.8615398650
1,10,10,1.8539457570
1,10,10,1.8539877240
1,10,20,1.8610468990
1,10,20,1.8537891450
1,10,20,1.8607772560
1,10,20,1.8593212270
1,10,20,1.8448979070
1,10,20,1.8617178660
1,10,20,1.8614758250
1,10,20,1.8540363190
1,10,20,1.8616433750
1,10,20,1.8537430670
1,11,10,22.7904783030
1,11,10,22.8156172280
1,11,10,2.1670722450
1,11,10,2.1769426790
1,11,10,2.1848877480
1,11,10,2.1761849870
1,11,10,2.1898556400
1,11,10,2.1674619930
1,11,10,2.1716678580
1,11,10,2.1682443860
1,11,20,2.1675822500
1,11,20,2.1938159790
1,11,20,2.1720572680
1,11,20,2.1935993920
1,11,20,2.1725919610
1,11,20,2.1937383980
1,11,20,2.1726761450
1,11,20,2.2232948040
1,11,20,2.1764733250
1,11,20,2.1940417900
1,12,10,2.5167753670
1,12,10,2.5557136750
1,12,10,2.5402916510
1,12,10,2.5155954840
1,12,10,2.5512025270
1,12,10,2.5153865890
1,12,10,2.5398143010
1,12,10,2.5311904160
1,12,10,2.5156827450
1,12,10,2.4988334060
1,12,20,2.5301957390
1,12,20,2.5469932830
1,12,20,2.5160184020
1,12,20,2.5021695240
1,12,20,2.5863727300
1,12,20,2.4980924700
1,12,20,2.5469595690
1,12,20,2.5312467540
1,12,20,2.5860515240
1,12,20,2.4982498470
1,13,10,2.9351696610
1,13,10,2.9706274420
1,13,10,2.9177249050
1,13,10,2.9611967160
1,13,10,2.9099009520
1,13,10,2.9368070140
1,13,10,2.9693147760
1,13,10,3.0134110920
1,13,10,2.9472477070
1,13,10,2.9324916690
1,13,20,2.9815102890
1,13,20,3.0140940970
1,13,20,2.9807434580
1,13,20,3.0139342290
1,13,20,2.9994262810
1,13,20,3.0139845520
1,13,20,2.9322397440
1,13,20,2.9796056940
1,13,20,2.9803403640
1,13,20,2.9582840550
1,14,10,3.4360254650
1,14,10,3.3364400440
1,14,10,3.3687777530
1,14,10,3.3222148120
1,14,10,3.4205341240
1,14,10,3.3209614890
1,14,10,3.3272991120
1,14,10,3.2884261270
1,14,10,3.4012363410
1,14,10,3.3775512750
1,14,20,3.3260858430
1,14,20,3.3412837640
1,14,20,3.4212186570
1,14,20,3.3492775420
1,14,20,3.3490169520
1,14,20,3.3275795330
1,14,20,3.3268271350
1,14,20,3.3218971130
1,14,20,3.3636205710
1,14,20,3.3557901800
1,15,10,55.7236518949
1,15,10,55.7095087369
1,15,10,7.6996862110
1,15,10,3.9203447930
1,15,10,3.9022987310
1,15,10,3.9176047740
1,15,10,3.9353345740
1,15,10,3.9354145040
1,15,10,3.8668684380
1,15,10,3.9728918640
1,15,20,3.8676036030
1,15,20,3.9027276120
1,15,20,3.9113044890
1,15,20,3.9231901650
1,15,20,3.8927635750
1,15,20,3.9014146780
1,15,20,3.9043931980
1,15,20,3.8759223280
1,15,20,3.8876917910
1,15,20,3.8862723990
1,16,10,66.9154412020
1,16,10,4.3023596680
1,16,10,4.3536085600
1,16,10,4.3801181580
1,16,10,4.3438717900
1,16,10,4.3642976620
1,16,10,4.3196829850
1,16,10,4.3693397010
1,16,10,4.3323962470
1,16,10,4.3193516830
1,16,20,4.3133443640
1,16,20,4.3080582960
1,16,20,4.3402820270
1,16,20,4.3269293160
1,16,20,4.3300572180
1,16,20,4.3306794110
1,16,20,4.2857050970
1,16,20,4.2950086000
1,16,20,4.3121815030
1,16,20,4.2843432330
1,17,10,4.8142006590
1,17,10,4.8130238630
1,17,10,4.8446349400
1,17,10,4.8406117500
1,17,10,4.8464645980
1,17,10,4.8403123710
1,17,10,4.8463550070
1,17,10,4.8645663730
1,17,10,4.8529139830
1,17,10,4.8176572330
1,17,20,4.7934631940
1,17,20,4.8321264690
1,17,20,4.8237686350
1,17,20,4.8372182370
1,17,20,4.8688887180
1,17,20,4.8324933100
1,17,20,4.8240656140
1,17,20,4.7965509720
1,17,20,4.8682969240
1,17,20,4.7965853880
1,18,10,5.4189803150
1,18,10,5.4627089480
1,18,10,5.4581610720
1,18,10,5.4618973630
1,18,10,5.5124812790
1,18,10,5.4469204920
1,18,10,5.4778716220
1,18,10,5.4413809090
1,18,10,5.4182763480
