cca,size,total_time
8,2,0.1079257320
8,3,0.0895345480
8,4,0.0899484970
8,5,0.0899568070
8,6,0.0899446850
8,7,0.0524658970
8,8,0.0881993410
8,9,0.1096617720
8,9,0.0881468550
8,9,0.1302404150
8,9,0.1096329610
8,9,0.0671386100
8,10,0.0675648680
8,10,0.0671413640
8,10,0.0881488500
8,10,0.1514829240
8,10,0.1515646430
8,10,0.0882851980
8,10,0.0881643630
8,10,0.1098603780
8,11,0.0984975360
8,11,0.1240338870
8,11,0.0991654280
8,11,0.1232920630
8,12,0.0815366680
8,12,0.1649718660
8,12,0.1106449870
8,12,0.1096065400
8,13,0.1201487590
8,13,0.1201335420
8,13,0.1204649670
8,13,0.1515024300
8,14,0.1998997700
8,14,0.1304656230
8,14,0.1299359310
8,14,0.1656723450
8,15,0.1802288690
8,15,0.1409748100
8,15,0.1786655990
8,15,0.1793936970
8,16,0.1094895410
8,16,0.1515009900
8,16,0.1929569750
8,16,0.1516807030
8,16,0.1926038610
8,16,0.1503088260
8,16,0.1531771100
8,16,0.1507994140
8,17,0.1609650340
8,17,0.2064589190
8,17,0.2067727520
8,17,0.1610879150
8,18,0.2204234530
8,18,0.1712574050
8,18,0.1713519330
8,18,0.2200807030
8,19,0.1815121350
8,19,0.1813101560
8,19,0.2340358630
8,19,0.1812104770
8,20,0.2475990430
8,20,0.1928864710
8,20,0.1919282610
8,20,0.2481459700
8,21,0.2621238860
8,21,0.2027855380
8,21,0.2029189320
8,21,0.2027640530
8,21,0.2025756550
8,21,0.2025842420
8,21,0.2024513820
8,21,0.2022825220
8,21,0.2027430160
8,21,0.1430201540
8,21,0.2022333690
8,21,0.2017360760
8,21,0.2023604270
8,21,0.2031464030
8,21,0.2623585140
8,21,0.2620040530
8,21,0.2624779210
8,21,0.2034936610
8,21,0.2030871980
8,21,0.2614700080
8,21,0.1431706340
8,21,0.2030576550
8,21,0.1436771870
8,21,0.1444455220
8,21,0.1437227720
8,21,0.1434961370
8,21,0.2032828500
8,21,0.2028570430
8,21,0.1436971490
8,21,0.0845511010
8,21,0.1433439780
8,21,0.2029975620
8,21,0.2036758440
8,21,0.1438673050
8,21,0.1437765530
8,21,0.1433296720
8,20,0.1931318900
8,20,0.1928903520
8,20,0.1366169400
8,20,0.2485174630
8,20,0.1920041880
8,20,0.2477760700
8,20,0.1917902220
8,20,0.2480481720
8,20,0.1918893250
8,20,0.2468605290
8,20,0.2468790210
8,20,0.3037460300
8,20,0.2475967350
8,20,0.2468477690
8,20,0.3036759330
8,20,0.0814629450
8,20,0.3039986020
8,20,0.2676413560
8,20,0.4235502650
8,20,0.2487064170
8,20,0.2473791310
8,20,0.2491239680
8,20,0.3042370400
8,20,0.3032642330
8,21,0.2616541270
8,21,0.2619299880
8,21,0.2618996490
8,21,0.2612818950
8,21,0.2616539700
8,21,0.2024143250
8,21,0.2615902250
8,21,0.2617141360
8,20,0.2481802940
8,20,0.2476187480
8,20,0.2482786650
8,20,0.2476222330
8,20,0.1921597030
8,20,0.2478128080
8,20,0.2482388900
8,20,0.1921248250
8,20,0.2484612520
8,20,0.1924767020
8,20,0.1924479760
8,20,0.4162421790
8,20,0.2480986660
8,20,0.1362854440
8,20,0.1923729070
8,20,0.2476139890
8,21,0.2613393260
8,21,0.2024071360
8,21,0.2612964730
8,21,0.2021844930
8,21,0.2614786910
8,21,0.2614299110
8,21,0.2617143420
8,21,0.2023453820
8,21,0.3212307750
8,21,0.3214961990
8,21,0.2619213760
8,21,0.3211123620
8,21,0.3211968020
8,21,0.2618692940
8,21,0.2611824390
8,21,0.2610727050
8,21,0.2618789590
8,21,0.2618179850
8,21,0.3220266400
8,21,0.2618070010
8,21,0.2024734460
8,21,0.2617295100
8,21,0.3212836470
8,21,0.3206565630
8,21,0.3222258320
8,21,0.2615172760
8,21,0.2622270950
8,21,0.2621838880
8,21,0.2612190180
8,21,0.3210786420
8,21,0.2613273850
8,21,0.2674790680
8,21,0.2027721890
8,21,0.2614165980
8,21,0.2619841570
8,21,0.2616347400
8,21,0.2622479080
8,21,0.2617318450
8,21,0.3220593020
8,21,0.2623812570
8,21,0.2032661710
8,21,0.2630433160
8,21,0.2624772440
8,21,0.2023202350
8,21,0.2621764770
8,21,0.2622548320
8,21,0.2614859440
8,21,0.2031963200
8,20,0.1919613780
8,20,0.2478882520
8,20,0.2482139830
8,20,0.1925089100
8,20,0.2474889650
8,20,0.1921068630
8,20,0.1913545160
8,20,0.1919198060
8,21,0.1436872440
8,21,0.2027912200
8,21,0.2618078530
8,21,0.2026994890
8,21,0.2615054530
8,21,0.1435583890
8,21,0.2032312380
8,21,0.2621876660
8,20,0.1916028910
8,20,0.2476000510
8,20,0.1918587340
8,20,0.2479545580
8,20,0.2474895920
8,20,0.1923319530
8,20,0.1925473510
8,20,0.1358120110
8,21,0.2621173080
8,21,0.2020319860
8,21,0.2024474010
8,21,0.2028547200
8,20,0.1923447990
8,20,0.2489566590
8,20,0.1921745050
8,20,0.1922445110
8,19,0.1824023710
8,19,0.2343105800
8,19,0.2340056780
8,19,0.0780092250
8,19,0.2340018580
8,19,0.2337914690
8,19,0.1297684380
8,19,0.1814054660
8,19,0.2341136980
8,19,0.1821369430
8,19,0.1822478660
8,19,0.1814107240
8,19,0.2351316880
8,19,0.2349933440
8,19,0.1816335010
8,19,0.2349318840
8,19,0.1816490360
8,19,0.2349493740
8,19,0.0776611310
8,19,0.2345508340
8,19,0.1811935430
8,19,0.1829508700
8,19,0.0777715620
8,19,0.1816648210
8,19,0.1828203350
8,19,0.2349419950
8,19,0.1814626670
8,19,0.1825526270
8,19,0.2340897550
8,19,0.2347375250
8,19,0.2876077330
8,19,0.2347712990
8,19,0.2863843290
8,19,0.2862190980
8,19,0.1821355120
8,19,0.0778835630
8,19,0.1822245960
8,19,0.2331307660
8,19,0.2856369040
8,19,0.1822107150
8,19,0.2346275150
8,19,0.1822379670
8,19,0.1823895940
8,19,0.0772131250
8,19,0.2347540540
8,19,0.1823467560
8,19,0.2349418870
8,19,0.1821858460
8,20,0.2475586390
8,20,0.2479758390
8,20,0.1916443870
8,20,0.2488271410
8,21,0.2028699200
8,21,0.2625788210
8,21,0.2650434330
8,21,0.2027541500
8,21,0.3210757960
8,21,0.3211930680
8,21,0.3213936220
8,21,0.1443773200
8,20,0.0815150530
8,20,0.3604856240
8,20,0.2478111470
8,20,0.3038629540
8,20,0.1920421360
8,20,0.2479567220
8,20,0.2481044410
8,20,0.0814202710
8,20,0.0817325210
8,20,0.2479892800
8,20,0.2477522220
8,20,0.1920956810
8,20,0.1920290180
8,20,0.2474558250
8,20,0.1916153540
8,20,0.1918694880
8,21,0.2622344990
8,21,0.2624925410
8,21,0.2628403310
8,21,0.2032611470
8,21,0.2628511050
8,21,0.2028563830
8,21,0.2622242060
8,21,0.3216500130
8,20,0.2483204350
8,20,0.1918834010
8,20,0.1369741650
8,20,0.2474217820
8,19,0.2854768700
8,19,0.2352262620
8,19,0.2354146090
8,19,0.1295355880
8,19,0.2874195900
8,19,0.2854772380
8,19,0.2346917270
8,19,0.1819070070
8,19,0.2340927150
8,19,0.2345043200
8,19,0.1815308310
8,19,0.2349399450
8,20,0.1924908410
8,20,0.1926873090
8,20,0.0814089430
8,20,0.2482410140
8,21,0.0844596650
8,21,0.2023383300
8,21,0.2619802880
8,21,0.2047797050
8,21,0.2045486580
8,21,0.2625488900
8,21,0.2631288970
8,21,0.2623020720
8,20,0.1926925260
8,20,0.2482692910
8,20,0.1926926710
8,20,0.1918175420
8,20,0.0816107690
8,20,0.2493958850
8,20,0.2486606310
8,20,0.2488029270
8,20,0.1916470310
8,20,0.3043187200
8,20,0.2478733840
8,20,0.3602295180
8,19,0.2861358560
8,19,0.1822015060
8,19,0.2868355920
8,19,0.2343405500
8,19,0.1821630030
8,19,0.0771799500
8,19,0.2353693850
8,19,0.2347655920
8,19,0.1824211520
8,19,0.2357609140
8,19,0.2352615790
8,19,0.1819487380
8,19,0.2347355720
8,19,0.2352785900
8,19,0.2354869750
8,19,0.2344265310
8,19,0.0775430950
8,19,0.1823301630
8,19,0.1819186280
8,19,0.2340002190
8,19,0.2344243160
8,19,0.0771914770
8,19,0.1297809990
8,19,0.2340170450
8,19,0.1825435900
8,19,0.1829381050
8,19,0.1828042240
8,19,0.2355655030
8,19,0.0771683300
8,19,0.0778330410
8,19,0.1821867300
8,19,0.1819180480
8,19,0.2347242640
8,19,0.0777293820
8,19,0.2353258970
8,19,0.2355256560
8,20,0.2477219840
8,20,0.2483395980
8,20,0.0816087470
8,20,0.1916594340
8,20,0.1916803450
8,20,0.0814239230
8,20,0.2476270900
8,20,0.2475790960
8,20,0.1923580480
8,20,0.1917522160
8,20,0.2477684170
8,20,0.2474840840
8,21,0.2026439270
8,21,0.1437103270
8,21,0.2026511470
8,21,0.2628775860
8,21,0.2026516110
8,21,0.2024926790
8,21,0.1440522530
8,21,0.2024097580
8,21,0.2021804420
8,21,0.2021237950
