cca,size,density,total_time
2,10,10,5.8700458490
2,10,10,5.6708013420
2,10,10,5.6984658870
2,10,10,5.6912892100
2,10,10,1.7810929930
2,10,10,1.2156207440
2,10,10,1.2164081300
2,10,10,0.6523771410
2,10,10,1.2158142150
2,10,10,0.6529005290
2,10,20,1.2161502840
2,10,20,0.6506103880
2,10,20,1.2159031360
2,10,20,0.6514709640
2,10,20,1.2161742690
2,10,20,0.6509710450
2,10,20,0.6489041690
2,10,20,0.6517732190
2,10,20,1.2279904680
2,10,20,0.6522785400
2,11,10,7.3160192850
2,11,10,7.3032108390
2,11,10,1.4188177940
2,11,10,1.4224022680
2,11,10,0.7398397850
2,11,10,0.7392366940
2,11,10,0.7401912080
2,11,10,0.7395436830
2,11,10,0.7392041190
2,11,10,0.7455748400
2,11,20,0.7398826450
2,11,20,0.7397293380
2,11,20,0.7391840430
2,11,20,0.7391369510
2,11,20,0.7390664980
2,11,20,0.9429742640
2,11,20,0.7486995340
2,11,20,0.7395624200
2,11,20,0.7390137670
2,11,20,0.7392937520
2,12,10,0.8456413090
2,12,10,0.8950814590
2,12,10,0.8475941490
2,12,10,0.8626983910
2,12,10,0.8466018420
2,12,10,0.8603381030
2,12,10,0.8466425400
2,12,10,0.8624005800
2,12,10,0.8760834850
2,12,10,0.8460679650
2,12,20,0.8462110760
2,12,20,0.8668434480
2,12,20,0.8758686400
2,12,20,0.8462661120
2,12,20,0.8462963210
2,12,20,0.8473372870
2,12,20,0.8462196280
2,12,20,0.8628608830
2,12,20,0.8517182770
2,12,20,0.8463456020
2,13,10,0.9551834730
2,13,10,0.9798801880
2,13,10,0.9569059990
2,13,10,0.9838598950
2,13,10,0.9569366990
2,13,10,0.9575114060
2,13,10,1.0266323320
2,13,10,0.9568167560
2,13,10,1.0522782870
2,13,10,1.0897421920
2,13,20,1.0494184520
2,13,20,0.9569364190
2,13,20,1.0491020810
2,13,20,1.1612248030
2,13,20,0.9570986940
2,13,20,0.9567420020
2,13,20,1.0343636470
2,13,20,0.9562710670
2,13,20,1.0248281500
