cca,size,density,mxv_time
7,10,10,0.0007688036
7,10,10,0.0006645972
7,10,10,0.0006259586
7,10,10,0.0005988268
7,10,10,0.0008818515
7,10,10,0.0012307000
7,10,10,0.0011834590
7,10,10,0.0011690530
7,10,10,0.0011351910
7,10,10,0.0011284650
7,10,20,0.0011413140
7,10,20,0.0011715320
7,10,20,0.0011011760
7,10,20,0.0010711490
7,10,20,0.0010821520
7,10,20,0.0010854990
7,10,20,0.0005342840
7,10,20,0.0010715930
7,10,20,0.0010662170
7,10,20,0.0010742160
7,11,10,0.0005686991
7,11,10,0.0005491225
7,11,10,0.0005546537
7,11,10,0.0007442250
7,11,10,0.0009847150
7,11,10,0.0009850430
7,11,10,0.0010000790
7,11,10,0.0009699000
7,11,10,0.0009885660
7,11,10,0.0009521240
7,11,20,0.0009368520
7,11,20,0.0009365540
7,11,20,0.0009358680
7,11,20,0.0009306690
7,11,20,0.0009425860
7,11,20,0.0009589580
7,11,20,0.0004633560
7,11,20,0.0009001390
7,11,20,0.0009003300
7,11,20,0.0008820490
7,12,10,0.0009761150
7,12,10,0.0009611720
7,12,10,0.0010086330
7,12,10,0.0010201910
7,12,10,0.0009314710
7,12,10,0.0009647390
7,12,10,0.0009499060
7,12,10,0.0009372450
7,12,10,0.0009454730
7,12,10,0.0009600250
7,12,20,0.0009764900
7,12,20,0.0009232160
7,12,20,0.0009764810
7,12,20,0.0009094630
7,12,20,0.0009520180
7,12,20,0.0009464530
7,12,20,0.0004584190
7,12,20,0.0009496360
7,12,20,0.0009914550
7,12,20,0.0009958980
7,13,10,0.0009668910
7,13,10,0.0010396370
7,13,10,0.0009903790
7,13,10,0.0010330880
7,13,10,0.0010136850
7,13,10,0.0010654350
7,13,10,0.0010611040
7,13,10,0.0010253910
7,13,10,0.0010238840
7,13,10,0.0010260030
7,13,20,0.0010065180
7,13,20,0.0010386330
7,13,20,0.0010422930
7,13,20,0.0010125130
7,13,20,0.0010253450
7,13,20,0.0010198010
7,13,20,0.0004894860
7,13,20,0.0010400890
7,13,20,0.0010158920
7,13,20,0.0009886780
7,14,10,0.0005741234
7,14,10,0.0005537219
7,14,10,0.0005653890
7,14,10,0.0005658296
7,14,10,0.0010736070
7,14,10,0.0011275620
7,14,10,0.0010987460
7,14,10,0.0010581360
7,14,10,0.0010573660
7,14,10,0.0010823140
7,14,20,0.0011081860
7,14,20,0.0010907370
7,14,20,0.0010974660
7,14,20,0.0011069900
7,14,20,0.0010627610
7,14,20,0.0011040230
