cca,size,density,mxv_time
2,10,10,0.0007589011
2,10,10,0.0007086112
2,10,10,0.0006926049
2,10,10,0.0006771297
2,10,10,0.0010181028
2,10,10,0.0013497090
2,10,10,0.0013527820
2,10,10,0.0006804300
2,10,10,0.0013603590
2,10,10,0.0006811640
2,10,20,0.0013544370
2,10,20,0.0006850710
2,10,20,0.0013523110
2,10,20,0.0006792550
2,10,20,0.0013516720
2,10,20,0.0006954570
2,10,20,0.0006765980
2,10,20,0.0006875070
2,10,20,0.0013481680
2,10,20,0.0006868470
2,11,10,0.0007998135
2,11,10,0.0007986085
2,11,10,0.0015931920
2,11,10,0.0015930515
2,11,10,0.0007932190
2,11,10,0.0007985420
2,11,10,0.0007976880
2,11,10,0.0008000790
2,11,10,0.0007920280
2,11,10,0.0007992840
2,11,20,0.0008036630
2,11,20,0.0008153040
2,11,20,0.0007974400
2,11,20,0.0008033720
2,11,20,0.0007955470
2,11,20,0.0008010110
2,11,20,0.0007936690
2,11,20,0.0007989540
2,11,20,0.0007989880
2,11,20,0.0007985910
2,12,10,0.0009321780
2,12,10,0.0009888510
2,12,10,0.0009553310
2,12,10,0.0009463510
2,12,10,0.0009477990
2,12,10,0.0009523190
2,12,10,0.0009344920
2,12,10,0.0009509470
2,12,10,0.0009580870
2,12,10,0.0009328900
2,12,20,0.0009391900
2,12,20,0.0009667650
2,12,20,0.0009638760
2,12,20,0.0009330280
2,12,20,0.0009295440
2,12,20,0.0009300620
2,12,20,0.0009263830
2,12,20,0.0009577610
2,12,20,0.0009379450
2,12,20,0.0009334630
2,13,10,0.0010755210
2,13,10,0.0011159590
2,13,10,0.0010700180
2,13,10,0.0011332220
2,13,10,0.0010784140
2,13,10,0.0010794980
2,13,10,0.0011575500
2,13,10,0.0010757020
2,13,10,0.0011943550
2,13,10,0.0011936410
2,13,20,0.0011719825
2,13,20,0.0010787620
2,13,20,0.0011751060
2,13,20,0.0010751780
2,13,20,0.0010717330
2,13,20,0.0010797200
2,13,20,0.0011761360
2,13,20,0.0010768910
2,13,20,0.0011590310
2,13,20,0.0010747240
2,14,10,0.0013819260
2,14,10,0.0012551435
2,14,10,0.0012329000
2,14,10,0.0012711110
2,14,10,0.0012642780
2,14,10,0.0012544100
2,14,10,0.0012332210
2,14,10,0.0012473320
2,14,10,0.0012313390
2,14,10,0.0012489550
2,14,20,0.0012397160
2,14,20,0.0012876930
2,14,20,0.0012332220
2,14,20,0.0012697640
2,14,20,0.0012941020
2,14,20,0.0012630630
2,14,20,0.0013136370
2,14,20,0.0012375050
2,14,20,0.0012740680
2,14,20,0.0012370570
2,15,10,0.0013959651
2,15,10,0.0013951296
2,15,10,0.0027851245
2,15,10,0.0014691510
2,15,10,0.0014552760
2,15,10,0.0014733410
2,15,10,0.0014706805
2,15,10,0.0014640970
2,15,10,0.0013960340
2,15,10,0.0014653440
2,15,20,0.0013951050
2,15,20,0.0013958860
2,15,20,0.0013945460
2,15,20,0.0013971380
2,15,20,0.0014505160
2,15,20,0.0013946740
2,15,20,0.0013993410
2,15,20,0.0014007620
2,15,20,0.0013990380
2,15,20,0.0013898840
2,16,10,0.0015708809
2,16,10,0.0016147340
2,16,10,0.0016555070
2,16,10,0.0015798760
2,16,10,0.0016028455
2,16,10,0.0015821520
2,16,10,0.0015918545
2,16,10,0.0016176330
2,16,10,0.0016042420
2,16,10,0.0015794000
2,16,20,0.0016165620
2,16,20,0.0015907110
2,16,20,0.0016209290
2,16,20,0.0015796030
2,16,20,0.0016208180
2,16,20,0.0015809320
2,16,20,0.0016565280
2,16,20,0.0016482830
2,16,20,0.0016154680
2,16,20,0.0016465320
2,17,10,0.0018085300
2,17,10,0.0017688650
2,17,10,0.0017675650
2,17,10,0.0017681220
2,17,10,0.0018245720
2,17,10,0.0017634080
2,17,10,0.0018314420
2,17,10,0.0017713710
2,17,10,0.0017669380
2,17,10,0.0017668800
2,17,20,0.0017665900
2,17,20,0.0017722660
2,17,20,0.0017699080
2,17,20,0.0017679780
2,17,20,0.0017700410
2,17,20,0.0017700870
2,17,20,0.0017686360
2,17,20,0.0017657250
2,17,20,0.0017663840
2,17,20,0.0017706190
2,18,10,0.0020455278
2,18,10,0.0021009770
2,18,10,0.0021091790
2,18,10,0.0020997535
2,18,10,0.0020795875
2,18,10,0.0020674955
2,18,10,0.0019757130
2,18,10,0.0020586455
2,18,10,0.0020727255
2,18,10,0.0020830305
2,18,20,0.0019935150
2,18,20,0.0020557440
2,18,20,0.0021146390
2,18,20,0.0020613920
2,18,20,0.0019752750
2,18,20,0.0020491130
2,18,20,0.0019741280
2,18,20,0.0020384515
2,18,20,0.0019692880
2,18,20,0.0020342860
2,19,10,0.0025248360
2,19,10,0.0046641665
2,19,10,0.0024845740
2,19,10,0.0025285585
2,19,10,0.0025273923
2,19,10,0.0025090015
2,19,10,0.0023718360
2,19,10,0.0025105790
2,19,10,0.0023724100
2,19,10,0.0024679290
2,19,20,0.0025591410
2,19,20,0.0023674610
2,19,20,0.0023805320
2,19,20,0.0023689200
2,19,20,0.0023620190
2,19,20,0.0023622610
2,19,20,0.0023666190
2,19,20,0.0023581740
2,19,20,0.0023579130
2,19,20,0.0023671480
2,20,10,0.0025113400
2,20,10,0.0025507825
2,20,10,0.0025825920
2,20,10,0.0025534965
2,20,10,0.0025918345
2,20,10,0.0025167375
2,20,10,0.0025885230
2,20,10,0.0025782240
2,20,10,0.0025353580
2,20,10,0.0024933670
2,20,20,0.0025307275
2,20,20,0.0024862800
2,20,20,0.0025171515
2,20,20,0.0024459745
2,20,20,0.0025393590
2,20,20,0.0024175730
2,20,20,0.0025481420
2,20,20,0.0024087880
2,20,20,0.0024992440
2,20,20,0.0025345340
2,21,10,0.0027995610
2,21,10,0.0026379690
2,21,10,0.0028096360
2,21,10,0.0026411800
2,21,10,0.0026553400
2,21,10,0.0026306260
2,21,10,0.0027986420
2,21,10,0.0026398650
2,21,10,0.0027978330
2,21,10,0.0026350520
2,21,20,0.0029440830
2,21,20,0.0026427190
2,21,20,0.0026435300
2,21,20,0.0026394920
2,21,20,0.0020412010
2,21,20,0.0019834710
2,21,20,0.0019795200
2,21,20,0.0019781180
2,21,20,0.0019926770
2,21,20,0.0019830560
2,22,10,0.0021571700
2,22,10,0.0022947550
2,22,10,0.0023577610
2,22,10,0.0023586560
2,22,10,0.0023095700
2,22,10,0.0023187775
2,22,10,0.0023342905
2,22,10,0.0023488225
2,22,10,0.0022609015
2,22,10,0.0022735985
2,22,20,0.0022282355
2,22,20,0.0022723940
2,22,20,0.0022690950
2,22,20,0.0022395700
2,22,20,0.0022709830
2,22,20,0.0022571500
2,22,20,0.0021850300
2,22,20,0.0022386575
2,22,20,0.0021926960
2,22,20,0.0022329555
2,23,10,0.0027670795
2,23,10,0.0027988715
2,23,10,0.0027531137
2,23,10,0.0027795155
2,23,10,0.0027759092
2,23,10,0.0027293115
2,23,10,0.0027340000
2,23,10,0.0026894000
2,23,10,0.0027515875
2,23,10,0.0027311613
2,23,20,0.0027559635
2,23,20,0.0027470965
2,23,20,0.0027761220
2,23,20,0.0026920540
2,23,20,0.0025647950
2,23,20,0.0026329980
2,23,20,0.0027302385
2,23,20,0.0026588790
2,23,20,0.0025516300
2,23,20,0.0026354010
2,24,10,0.0028176415
2,24,10,0.0027013335
2,24,10,0.0027691922
2,24,10,0.0027386010
2,24,10,0.0027926155
2,24,10,0.0027686755
2,24,10,0.0027393790
