cca,size,density,mxv_time
1,10,10,0.0035926576
1,10,10,0.0029853880
1,10,10,0.0025467220
1,10,10,0.0022186607
1,10,10,0.0043942685
1,10,10,0.0043547795
1,10,10,0.0021859620
1,10,10,0.0022076040
1,10,10,0.0021970450
1,10,10,0.0021932590
1,10,20,0.0022127880
1,10,20,0.0022016670
1,10,20,0.0022052020
1,10,20,0.0022088210
1,10,20,0.0021887930
1,10,20,0.0022014320
1,10,20,0.0022088050
1,10,20,0.0021991920
1,10,20,0.0022048370
1,10,20,0.0022032890
1,11,10,0.0025934933
1,11,10,0.0025917141
1,11,10,0.0026144140
1,11,10,0.0026255990
1,11,10,0.0026257525
1,11,10,0.0026266830
1,11,10,0.0026378430
1,11,10,0.0026541570
1,11,10,0.0026177780
1,11,10,0.0026162880
1,11,20,0.0026162210
1,11,20,0.0026327980
1,11,20,0.0026206500
1,11,20,0.0026376900
1,11,20,0.0026175020
1,11,20,0.0026376630
1,11,20,0.0026201350
1,11,20,0.0026746470
1,11,20,0.0026269910
1,11,20,0.0026495170
1,12,10,0.0030563200
1,12,10,0.0030923480
1,12,10,0.0030935600
1,12,10,0.0030648905
1,12,10,0.0031110950
1,12,10,0.0030627695
1,12,10,0.0030830370
1,12,10,0.0030631350
1,12,10,0.0030525900
1,12,10,0.0030550580
1,12,20,0.0030831010
1,12,20,0.0030933170
1,12,20,0.0030625840
1,12,20,0.0030489220
1,12,20,0.0031476580
1,12,20,0.0030428590
1,12,20,0.0030939635
1,12,20,0.0030787600
1,12,20,0.0031460860
1,12,20,0.0030397920
1,13,10,0.0035925230
1,13,10,0.0036518410
1,13,10,0.0036087340
1,13,10,0.0036479045
1,13,10,0.0035858110
1,13,10,0.0036255740
1,13,10,0.0036391240
1,13,10,0.0037296320
1,13,10,0.0037202670
1,13,10,0.0036919155
1,13,20,0.0036542655
1,13,20,0.0036772310
1,13,20,0.0036618330
1,13,20,0.0036806600
1,13,20,0.0036831560
1,13,20,0.0036713465
1,13,20,0.0037446775
1,13,20,0.0036770920
1,13,20,0.0036773680
1,13,20,0.0036258750
1,14,10,0.0042001150
1,14,10,0.0040973070
1,14,10,0.0041205620
1,14,10,0.0041349000
1,14,10,0.0042407010
1,14,10,0.0040879100
1,14,10,0.0040592505
1,14,10,0.0041173200
1,14,10,0.0042147450
1,14,10,0.0041304125
1,14,20,0.0041035760
1,14,20,0.0040930660
1,14,20,0.0041921920
1,14,20,0.0040876475
1,14,20,0.0041021300
1,14,20,0.0041175765
1,14,20,0.0040537620
1,14,20,0.0040513300
1,14,20,0.0041026210
1,14,20,0.0041041640
1,15,10,0.0048489427
1,15,10,0.0048501392
1,15,10,0.0095760050
1,15,10,0.0049355605
1,15,10,0.0049111850
1,15,10,0.0049706645
1,15,10,0.0050024865
1,15,10,0.0049829120
1,15,10,0.0048902400
1,15,10,0.0050118560
1,15,20,0.0048875880
1,15,20,0.0049602840
1,15,20,0.0039104840
1,15,20,0.0037075000
1,15,20,0.0037013000
1,15,20,0.0037302080
1,15,20,0.0036927050
1,15,20,0.0036695110
1,15,20,0.0036751270
1,15,20,0.0037029790
1,16,10,0.0041843866
1,16,10,0.0045183910
1,16,10,0.0043919935
1,16,10,0.0043492895
1,16,10,0.0043236380
1,16,10,0.0043401570
1,16,10,0.0043227740
1,16,10,0.0043044900
1,16,10,0.0043270170
1,16,10,0.0042908950
1,16,20,0.0042795590
1,16,20,0.0043117370
1,16,20,0.0042622780
1,16,20,0.0043232130
1,16,20,0.0042687550
1,16,20,0.0043026780
1,16,20,0.0042785760
1,16,20,0.0042092200
1,16,20,0.0043042430
1,16,20,0.0042625490
1,17,10,0.0047139600
1,17,10,0.0047596030
1,17,10,0.0047498390
1,17,10,0.0047224790
1,17,10,0.0047204630
1,17,10,0.0047861150
1,17,10,0.0047231570
1,17,10,0.0047679730
1,17,10,0.0047905400
1,17,10,0.0047659600
1,17,20,0.0047235880
1,17,20,0.0047226060
1,17,20,0.0047744940
1,17,20,0.0047139470
1,17,20,0.0047475300
1,17,20,0.0047337300
1,17,20,0.0048577310
1,17,20,0.0047783880
1,17,20,0.0046643365
1,17,20,0.0046092770
1,18,10,0.0052910680
1,18,10,0.0052006450
1,18,10,0.0051953860
1,18,10,0.0051637475
1,18,10,0.0051943150
1,18,10,0.0051728770
1,18,10,0.0053275493
1,18,10,0.0052381260
1,18,10,0.0051648680
1,18,10,0.0051456930
1,18,20,0.0051723270
1,18,20,0.0051510450
1,18,20,0.0052028300
1,18,20,0.0051861670
1,18,20,0.0051589230
1,18,20,0.0051866530
1,18,20,0.0053440280
1,18,20,0.0051747805
1,18,20,0.0050990620
1,18,20,0.0051365500
1,19,10,0.0058607760
1,19,10,0.0058501183
1,19,10,0.0058000545
1,19,10,0.0059467090
1,19,10,0.0058271690
1,19,10,0.0058107850
1,19,10,0.0059448240
1,19,10,0.0058366060
1,19,10,0.0058942170
1,19,10,0.0058468825
1,19,20,0.0058215435
1,19,20,0.0058757000
1,19,20,0.0058220790
1,19,20,0.0058576135
1,19,20,0.0058127365
1,19,20,0.0058291135
1,19,20,0.0057989660
1,19,20,0.0058960515
1,19,20,0.0057958865
1,19,20,0.0058511870
1,20,10,0.0063683140
1,20,10,0.0064042880
1,20,10,0.0063941280
1,20,10,0.0065192235
1,20,10,0.0064743745
1,20,10,0.0064432640
1,20,10,0.0065116810
1,20,10,0.0063990345
1,20,10,0.0064054840
1,20,10,0.0063522305
1,20,20,0.0064530430
1,20,20,0.0064505890
1,20,20,0.0064469965
1,20,20,0.0063410580
1,20,20,0.0064822262
1,20,20,0.0063997650
1,20,20,0.0063895145
1,20,20,0.0063719500
1,20,20,0.0063841300
1,20,20,0.0062788720
1,21,10,0.0069512705
1,21,10,0.0069418970
1,21,10,0.0070503610
1,21,10,0.0069417720
1,21,10,0.0069474160
1,21,10,0.0069576510
1,21,10,0.0069138955
1,21,10,0.0069357140
1,21,10,0.0070149325
1,21,10,0.0072429820
1,21,20,0.0069920760
1,21,20,0.0069272410
1,21,20,0.0070077080
1,21,20,0.0069164390
1,21,20,0.0069127435
1,21,20,0.0070300900
1,21,20,0.0069380640
1,21,20,0.0069545960
1,21,20,0.0069240860
1,21,20,0.0070120840
1,22,10,0.0076141790
1,22,10,0.0077478570
1,22,10,0.0079054390
1,22,10,0.0079102255
1,22,10,0.0076811305
1,22,10,0.0077630085
1,22,10,0.0076503610
1,22,10,0.0077067850
1,22,10,0.0077223570
1,22,10,0.0076856530
1,22,20,0.0077048745
1,22,20,0.0077022720
1,22,20,0.0076736290
1,22,20,0.0076276280
1,22,20,0.0076860980
1,22,20,0.0076166110
1,22,20,0.0076395715
1,22,20,0.0076543795
1,22,20,0.0075389630
1,22,20,0.0076287830
1,23,10,0.0083827610
1,23,10,0.0083296290
1,23,10,0.0083192970
1,23,10,0.0083746445
1,23,10,0.0083314540
1,23,10,0.0086094300
1,23,10,0.0084099160
1,23,10,0.0083680855
1,23,10,0.0082272330
1,23,10,0.0083402380
1,23,20,0.0084217025
1,23,20,0.0083415420
1,23,20,0.0083669583
1,23,20,0.0081957125
1,23,20,0.0082520395
1,23,20,0.0082819400
1,23,20,0.0083464145
1,23,20,0.0081495930
1,23,20,0.0083221435
1,23,20,0.0082467635
1,24,10,0.0090196970
1,24,10,0.0091088645
1,24,10,0.0092801350
1,24,10,0.0090598333
1,24,10,0.0091318540
1,24,10,0.0090640005
1,24,10,0.0090916960
1,24,10,0.0091129990
1,24,10,0.0090841860
1,24,10,0.0091084000
1,24,20,0.0088936980
1,24,20,0.0088428510
1,24,20,0.0088736310
1,24,20,0.0087506660
1,24,20,0.0088938035
1,24,20,0.0089058460
1,24,20,0.0090573850
1,24,20,0.0087166840
1,24,20,0.0088666965
1,24,20,0.0090127510
1,25,10,0.0098773290
1,25,10,0.0099020570
1,25,10,0.0100601440
1,25,10,0.0098882920
1,25,10,0.0100245740
1,25,10,0.0100904185
1,25,10,0.0099165530
1,25,10,0.0100329750
1,25,10,0.0101446527
1,25,10,0.0098377250
1,25,20,0.0096990890
1,25,20,0.0096896990
1,25,20,0.0096653670
1,25,20,0.0096710110
1,25,20,0.0097759680
1,25,20,0.0097503725
1,25,20,0.0097887900
1,25,20,0.0096248800
1,25,20,0.0096838000
1,25,20,0.0101712710
1,26,10,0.0107247900
1,26,10,0.0107138165
1,26,10,0.0107004615
1,26,10,0.0110904820
1,26,10,0.0107250285
1,26,10,0.0105484090
1,26,10,0.0110079288
1,26,10,0.0107219790
1,26,10,0.0138244035
1,26,10,0.0106767410
1,26,20,0.0105328970
1,26,20,0.0108696435
1,26,20,0.0105158610
1,26,20,0.0109149590
1,26,20,0.0107611755
1,26,20,0.0107930075
1,26,20,0.0106787290
1,26,20,0.0108064250
1,26,20,0.0107525910
1,26,20,0.0107199020
1,27,10,0.0116073145
1,27,10,0.0116025645
1,27,10,0.0117196085
1,27,10,0.0115800185
1,27,10,0.0115563675
1,27,10,0.0119759405
1,27,10,0.0115264261
1,27,10,0.0116474270
1,27,10,0.0116857115
1,27,10,0.0117529357
1,27,20,0.0115630195
1,27,20,0.0116183655
1,27,20,0.0115840187
1,27,20,0.0115266090
1,27,20,0.0116595205
1,27,20,0.0114880470
1,27,20,0.0114990275
1,27,20,0.0115595225
1,27,20,0.0115575075
1,27,20,0.0116056190
1,28,10,0.0121882975
1,28,10,0.0122126130
1,28,10,0.0123334860
1,28,10,0.0121979385
1,28,10,0.0124508875
1,28,10,0.0122939720
1,28,10,0.0124439755
1,28,10,0.0124617072
1,28,10,0.0127311258
1,28,10,0.0125221210
1,28,20,0.0126182920
1,28,20,0.0125899205
1,28,20,0.0125407985
1,28,20,0.0124435277
1,28,20,0.0124001590
1,28,20,0.0124301420
1,28,20,0.0123612870
1,28,20,0.0123422215
1,28,20,0.0123868680
1,28,20,0.0123287850
1,29,10,0.0133019710
1,29,10,0.0131097542
1,29,10,0.0132932180
1,29,10,0.0131843440
1,29,10,0.0133256685
1,29,10,0.0132099115
1,29,10,0.0130671570
