cca,size,density,mxv_time
8,10,10,0.0001015180
8,10,10,0.0001011720
8,10,10,0.0001369633
8,10,10,0.0001525545
8,10,10,0.0001561160
8,10,10,0.0001967600
8,10,10,0.0002104070
8,10,10,0.0001893580
8,10,10,0.0001893050
8,10,10,0.0001884220
8,10,20,0.0001892690
8,10,20,0.0001864320
8,10,20,0.0001977410
8,10,20,0.0001938080
8,10,20,0.0001892220
8,10,20,0.0001893120
8,10,20,0.0001959680
8,10,20,0.0001864600
8,10,20,0.0001892670
8,10,20,0.0001864800
8,11,10,0.0001740520
8,11,10,0.0001318445
8,11,10,0.0001182477
8,11,10,0.0001767060
8,11,10,0.0001827160
8,11,10,0.0001767200
8,11,10,0.0001741300
8,11,10,0.0000877930
8,11,10,0.0001766660
8,11,10,0.0001740280
8,11,20,0.0001766400
8,11,20,0.0001740160
8,11,20,0.0001749790
8,11,20,0.0001740310
8,11,20,0.0001729650
8,11,20,0.0001631660
8,11,20,0.0001631530
8,11,20,0.0000822040
8,11,20,0.0001656460
8,11,20,0.0001656290
8,12,10,0.0001235020
8,12,10,0.0001232980
8,12,10,0.0001232685
8,12,10,0.0001643780
8,12,10,0.0001265645
8,12,10,0.0001643860
8,12,10,0.0001232690
8,12,10,0.0001269635
8,12,10,0.0001267690
8,12,10,0.0001547130
8,12,20,0.0001160035
8,12,20,0.0001161885
8,12,20,0.0001161855
8,12,20,0.0001547110
8,12,20,0.0001159765
8,12,20,0.0001547200
8,12,20,0.0001160060
8,12,20,0.0001160060
8,12,20,0.0001201355
8,12,20,0.0001547170
8,13,10,0.0001160835
8,13,10,0.0001198930
8,13,10,0.0001224445
8,13,10,0.0001096275
8,13,10,0.0001094115
8,13,10,0.0001096370
8,13,10,0.0001096205
8,13,10,0.0001461420
8,13,10,0.0001100155
8,13,10,0.0001096125
8,13,20,0.0001095855
8,13,20,0.0001095970
8,13,20,0.0001095645
8,13,20,0.0001095710
8,13,20,0.0001460970
8,13,20,0.0001124965
8,13,20,0.0001095575
8,13,20,0.0001454150
8,13,20,0.0001039520
8,13,20,0.0001037985
8,14,10,0.0000599810
8,14,10,0.0000899170
8,14,10,0.0000598730
8,14,10,0.0000897290
8,14,10,0.0000926605
8,14,10,0.0000895395
8,14,10,0.0000895240
8,14,10,0.0000896575
8,14,10,0.0000898965
8,14,10,0.0001252500
8,14,20,0.0000895245
8,14,20,0.0000897260
8,14,20,0.0000926670
8,14,20,0.0001195290
8,14,20,0.0000895765
8,14,20,0.0000897055
8,14,20,0.0000895455
8,14,20,0.0000896945
8,14,20,0.0000896960
8,14,20,0.0001197890
8,15,10,0.0001198260
8,15,10,0.0000932800
8,15,10,0.0000897260
8,15,10,0.0000925480
8,15,10,0.0000897805
8,15,10,0.0000898550
8,15,10,0.0000895640
8,15,10,0.0000895270
8,15,10,0.0000898900
8,15,10,0.0000895580
8,15,20,0.0000898590
8,15,20,0.0000897345
8,15,20,0.0001143840
8,15,20,0.0000857785
8,15,20,0.0000857760
8,15,20,0.0000884725
8,15,20,0.0000857385
8,15,20,0.0000890025
8,15,20,0.0000857365
8,15,20,0.0000857380
8,16,10,0.0000573660
8,16,10,0.0000860685
8,16,10,0.0000858585
8,16,10,0.0000857650
8,16,10,0.0000858020
8,16,10,0.0000857560
8,16,10,0.0000963730
8,16,10,0.0000857950
8,16,10,0.0000857665
8,16,10,0.0000857890
8,16,20,0.0000827800
8,16,20,0.0000822420
8,16,20,0.0000821840
8,16,20,0.0000821710
8,16,20,0.0000821760
8,16,20,0.0000847015
8,16,20,0.0000821785
8,16,20,0.0000821730
8,16,20,0.0000821650
8,16,20,0.0000821625
8,17,10,0.0000823195
8,17,10,0.0000824120
8,17,10,0.0000822305
8,17,10,0.0000822105
8,17,10,0.0000859315
8,17,10,0.0000822145
8,17,10,0.0000824320
8,17,10,0.0000822170
8,17,10,0.0000821995
8,17,10,0.0001096360
8,17,20,0.0000821845
8,17,20,0.0000821740
8,17,20,0.0000821685
8,17,20,0.0000821685
8,17,20,0.0000821650
8,17,20,0.0000821715
8,17,20,0.0000821685
8,17,20,0.0001095710
8,17,20,0.0000821760
8,17,20,0.0001095650
8,18,10,0.0000549370
8,18,10,0.0000824600
8,18,10,0.0000821980
8,18,10,0.0001095760
8,18,10,0.0000821795
8,18,10,0.0000822535
8,18,10,0.0000821655
8,18,10,0.0000821700
8,18,10,0.0000822600
8,18,10,0.0001095900
8,18,20,0.0000844185
8,18,20,0.0000821780
8,18,20,0.0000852560
8,18,20,0.0001095860
8,18,20,0.0000821730
8,18,20,0.0000821660
8,18,20,0.0000843255
8,18,20,0.0000821670
