cca,size,density,total_time
7,10,10,0.0618222750
7,10,10,0.0472757750
7,10,10,0.0388041570
7,10,10,0.0373492640
7,10,10,0.0116601140
7,10,20,0.0081487220
7,10,20,0.0081151720
7,10,20,0.0080892160
7,10,20,0.0079965330
7,10,20,0.0081379460
7,11,10,0.0445616810
7,11,10,0.0447141980
7,11,10,0.0444677310
7,11,10,0.0444723150
7,11,10,0.0167705280
7,11,20,0.0086631020
7,11,20,0.0087544640
7,11,20,0.0086682320
7,11,20,0.0087381930
7,11,20,0.0086613850
7,12,10,0.0095179720
7,12,10,0.0092710800
7,12,10,0.0095837360
7,12,10,0.0094131430
7,12,10,0.0095806200
7,12,20,0.0093195460
7,12,20,0.0094527140
7,12,20,0.0095587090
7,12,20,0.0093824830
7,12,20,0.0094945060
7,13,10,0.0097716640
7,13,10,0.0099456500
7,13,10,0.0097334600
7,13,10,0.0097975880
7,13,10,0.0098900720
7,13,20,0.0098238960
7,13,20,0.0098726220
7,13,20,0.0098916070
7,13,20,0.0097745190
7,13,20,0.0097899880
7,14,10,0.0715263750
7,14,10,0.0105528230
7,14,10,0.0104036240
7,14,10,0.0106589200
7,14,10,0.0106555810
7,14,20,0.0105201820
7,14,20,0.0105049430
7,14,20,0.0103914280
7,14,20,0.0106159770
7,14,20,0.0104691750
7,15,10,0.0793093720
7,15,10,0.0784195350
7,15,10,0.0111376720
7,15,10,0.0092606040
7,15,10,0.0083719310
7,15,20,0.0084367790
7,15,20,0.0084315690
7,15,20,0.0082931120
7,15,20,0.0082705220
7,15,20,0.0083000190
7,16,10,0.0087825470
7,16,10,0.0088959450
7,16,10,0.0089021580
7,16,10,0.0088881270
7,16,10,0.0090078750
7,16,20,0.0088458960
7,16,20,0.0090414620
7,16,20,0.0089362500
7,16,20,0.0089282840
7,16,20,0.0089509220
7,17,10,0.0091991670
7,17,10,0.0093157610
7,17,10,0.0092124170
7,17,10,0.0093656230
7,17,10,0.0094554240
7,17,20,0.0093626360
7,17,20,0.0093551780
7,17,20,0.0095183350
7,17,20,0.0094748820
7,17,20,0.0096244950
7,18,10,0.0096207970
7,18,10,0.0095442980
7,18,10,0.0096131800
7,18,10,0.0098267350
7,18,10,0.0097281500
7,18,20,0.0096738380
7,18,20,0.0097381280
7,18,20,0.0097249820
7,18,20,0.0096979770
7,18,20,0.0096033840
7,19,10,0.0926901940
7,19,10,0.0928660670
7,19,10,0.0926550660
7,19,10,0.0929824650
7,19,10,0.0153961870
7,19,20,0.0103663010
7,19,20,0.0103367630
7,19,20,0.0103359080
7,19,20,0.0106298130
7,19,20,0.0104356920
7,20,10,0.0108816000
7,20,10,0.0108031250
7,20,10,0.0107773640
7,20,10,0.0106783270
7,20,10,0.0108079590
7,20,20,0.0108855340
7,20,20,0.0108413180
7,20,20,0.0105901030
7,20,20,0.0107752750
7,20,20,0.0107090120
7,21,10,0.0121797780
7,21,10,0.0122608640
7,21,10,0.0122654150
7,21,10,0.0122251770
7,21,10,0.0122267020
7,21,20,0.0122371230
7,21,20,0.0121766960
7,21,20,0.0123558510
7,21,20,0.0125215820
7,21,20,0.0124568310
7,22,10,0.0153286760
7,22,10,0.0153778940
7,22,10,0.0153772780
7,22,10,0.0153730840
7,22,10,0.0152798940
7,22,20,0.0152696060
7,22,20,0.0153543580
7,22,20,0.0151120990
7,22,20,0.0151158040
7,22,20,0.0150645260
7,23,10,0.1745804880
7,23,10,0.1762612100
7,23,10,0.0159444000
7,23,10,0.0235033810
7,23,10,0.0159260800
7,23,20,0.0159673620
7,23,20,0.0159042080
7,23,20,0.0159687880
7,23,20,0.0162206050
7,23,20,0.0159541810
7,24,10,0.0182839780
7,24,10,0.0182810740
7,24,10,0.0184652800
7,24,10,0.0182487580
7,24,10,0.0185678030
7,24,20,0.0182300880
