cca,size,density,total_time
3,10,10,0.0822851600
3,10,10,0.0622073800
3,10,10,0.0601464990
3,10,10,0.0600621880
3,10,10,0.0301603280
3,10,20,0.0184441100
3,10,20,0.0184354410
3,10,20,0.0184554320
3,10,20,0.0184704680
3,10,20,0.0123542100
3,11,10,0.0781852580
3,11,10,0.0782338520
3,11,10,0.0781768760
3,11,10,0.0782151480
3,11,10,0.0286132620
3,11,20,0.0145793830
3,11,20,0.0135354390
3,11,20,0.0109879440
3,11,20,0.0110018220
3,11,20,0.0112626450
3,12,10,0.0189767250
3,12,10,0.0127721950
3,12,10,0.0128404730
3,12,10,0.0132070870
3,12,10,0.0143301230
3,12,20,0.0133958980
3,12,20,0.0129667220
3,12,20,0.0130152050
3,12,20,0.0127783910
3,12,20,0.0130787970
3,13,10,0.0149322420
3,13,10,0.0147077820
3,13,10,0.0147360270
3,13,10,0.0147127240
3,13,10,0.0146955730
3,13,20,0.0147129120
3,13,20,0.0147460090
3,13,20,0.0147185190
3,13,20,0.0146721840
3,13,20,0.0147232450
3,14,10,0.1158605980
3,14,10,0.0167807670
3,14,10,0.0170536140
3,14,10,0.0167951700
3,14,10,0.0168084950
3,14,20,0.0167990910
3,14,20,0.0167576840
3,14,20,0.0168039440
3,14,20,0.0168556110
3,14,20,0.0167990920
3,15,10,0.1411514150
3,15,10,0.1408921640
3,15,10,0.0283696450
3,15,10,0.0283287630
3,15,10,0.0190386360
3,15,20,0.0190709530
3,15,20,0.0190458400
3,15,20,0.0190303780
3,15,20,0.0192855840
3,15,20,0.0192206910
3,16,10,0.0213850760
3,16,10,0.0215704160
3,16,10,0.0213743730
3,16,10,0.0214030610
3,16,10,0.0213468760
3,16,20,0.0217309790
3,16,20,0.0218878010
3,16,20,0.0213586430
3,16,20,0.0215417770
3,16,20,0.0213842150
3,17,10,0.0239142960
3,17,10,0.0239101590
3,17,10,0.0239247490
3,17,10,0.0239104750
3,17,10,0.0239189380
3,17,20,0.0239124960
3,17,20,0.0239227040
3,17,20,0.0240924990
3,17,20,0.0239655820
3,17,20,0.0239097640
3,18,10,0.0278602450
3,18,10,0.0279347160
3,18,10,0.0268746610
3,18,10,0.0275521300
3,18,10,0.0266749790
3,18,20,0.0266515900
3,18,20,0.0266535150
3,18,20,0.0266644180
3,18,20,0.0266897980
3,18,20,0.0266440860
3,19,10,0.2790923200
3,19,10,0.2793338700
3,19,10,0.0587563040
3,19,10,0.0440395570
3,19,10,0.0441579430
3,19,20,0.0293965860
3,19,20,0.0441789530
3,19,20,0.0293845460
3,19,20,0.0294256480
3,19,20,0.0295533890
3,20,10,0.0325320930
3,20,10,0.0324022590
3,20,10,0.0324055730
3,20,10,0.0323876530
3,20,10,0.0323764630
3,20,20,0.0323899720
3,20,20,0.0323954350
3,20,20,0.0323868860
3,20,20,0.0324011260
3,20,20,0.0323867370
3,21,10,0.0355007900
3,21,10,0.0354998260
3,21,10,0.0356860740
3,21,10,0.0355010650
3,21,10,0.0354984120
3,21,20,0.0355314910
3,21,20,0.0360050150
3,21,20,0.0357698710
3,21,20,0.0357053500
3,21,20,0.0357773430
3,22,10,0.0388285520
3,22,10,0.0388245500
3,22,10,0.0388491410
3,22,10,0.0388359280
3,22,10,0.0388374640
3,22,20,0.0388293020
3,22,20,0.0388422900
3,22,20,0.0388297600
3,22,20,0.0389178640
3,22,20,0.0388175060
3,23,10,0.4860390930
3,23,10,0.4854635890
3,23,10,0.0633437420
3,23,10,0.0633023950
3,23,10,0.0633090640
3,23,20,0.0632893480
3,23,20,0.0421834280
3,23,20,0.0421862310
